conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates	plan
"['turn 1: Set an alarm for lunch at 1:05 PM. -> Got it! I’ve set alarm_no3 for 1:05 PM as ""Lunch break.""', 'turn 2: Can you show me my browsing history? -> Sure—here’s what you’ve visited recently: BBC Sport (Football), Twitch (Live Gaming), TripAdvisor (Hotels in Paris).', 'turn 3: Please send ""WARNING: High CPU usage detected!"" to +861088889999 with the attached screenshot. -> Alert sent to +861088889999 with the attached screenshot.']"	Actually, please move that alarm to 1:15 PM.	Change alarm_no3 to 1:15 PM.	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 3, 'EXTRA_HOUR': 13, 'EXTRA_MINUTES': 15}}	ACTION_SET_ALARM-556-open_settings-1_NR-open_settings-1_NR-ACTION_EDIT_ALARM-1	1	['ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_PLAYLIST', 'ACTION_PICK', 'ACTION_EDIT_ALARM', 'ACTION_IMAGE_CAPTURE']	ACTION_EDIT_ALARM
"['turn 1: Set a 6:45 AM alarm named ""Morning workout"" without showing a confirmation screen. -> Done! Alarm_no9 ""Morning workout"" is set for 6:45 AM without confirmation.', 'turn 2: Show me the contact details for content://contacts/people/1037. -> Here are the details for contact 1037.', 'turn 3: Retrieve all contact info for content://com.example.contacts/555. -> Michael Johnson; Phone: 415-555-2678; Email: [m.johnson@example.com]; Address: 101 Pine Street, San Francisco, CA 94104.']"	"Actually, could you move it to 7:00 AM and rename it ""Pre-workout routine""?"	"Change alarm_no9 to 7:00 AM with label ""Pre-workout routine"""	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 9, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Pre-workout routine'}}	ACTION_SET_ALARM-552-ACTION_SHOW_ALARMS-1-ACTION_SET_ALARM-1-ACTION_EDIT_ALARM-1	1	['ACTION_EDIT_ALARM', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_EVENT', 'ACTION_CREATE_DOCUMENT']	ACTION_EDIT_ALARM
"['turn 1: Set an alarm for 12:00 AM to mark the new day. -> Done! Alarm_no2 is set for 12:00 AM with the label ""Mark new day.""', 'turn 2: Open the camera in photo mode. -> Photo mode camera is now active.', 'turn 3: Show my recently opened apps. -> Your recent apps are: News, Weather, Stocks, and Podcasts.']"	"Actually, could you update it to 1:00 AM and label it ""New Day Alarm""?"	Change alarm_no2 to 1:00 AM with label New Day Alarm	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 1, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'New Day Alarm'}}	ACTION_SET_ALARM-555-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_ALARM-1	1	['web_search', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_ALARM', 'ACTION_SET_TIMER', 'ACTION_GET_RINGTONE']	ACTION_EDIT_ALARM
['turn 1: What is the mobile number for content://com.example.contacts/345? -> The mobile number for content://com.example.contacts/345 is 415-555-0123.', 'turn 2: Can you show me my recent app history? -> Here are your recent apps: Calendar, Gmail, Spotify, and Photos.', 'turn 3: Add a contact for Henry Cavendish with birthday July 17, 1731. -> Contact created: content://contacts/people/henry_cavendish']	Actually, please update 345 contact's mobile number to 415-555-0456.	Update the mobile number of content://com.example.contacts/345 to 415-555-0456.	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://com.example.contacts/345', 'contact_info': {'phone': '415-555-0456'}}}	get_contact_info-1014-launch_application-1_NR-ACTION_INSERT_EVENT-1_NR-ACTION_EDIT_CONTACT-1	1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'search_location', 'ACTION_PICK', 'ACTION_EDIT_CONTACT', 'get_contact_info_from_uri']	ACTION_EDIT_CONTACT
"['turn 1: Add Natasha Romanoff with email [natasha@shield.gov], company Shield, and note ""Black Widow agent"". -> Contact created: content://contacts/people/natasha_romanoff', 'turn 2: Fetch Word files in .doc and .docx formats. -> Please select one or more Word files (.doc, .docx).', 'turn 3: Show me a mailing address from my contacts. -> Displaying your contacts’ mailing addresses—please pick one.']"	"Actually, could you add the address ""890 Spy Lane NW, Washington, DC"" to that contact?"	"Add ""890 Spy Lane NW, Washington, DC"" to content://contacts/people/natasha_romanoff."	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/natasha_romanoff', 'contact_info': {'address': '890 Spy Lane NW, Washington, DC'}}}	ACTION_INSERT_CONTACT-407-ACTION_EDIT_CONTACT-1-web_search-1_NR-ACTION_EDIT_CONTACT-1	1	['ACTION_EDIT_CONTACT', 'get_contact_info', 'ACTION_INSERT_CONTACT', 'search_location', 'play_video']	ACTION_EDIT_CONTACT
"['turn 1: Show the contact record at content://contacts/people/1025. -> Here’s what’s on file: Sophia Wilson, Phone: (555) 890-1234, Email: [sophia.wilson@example.com]. Record URI: content://contacts/people/1025.', 'turn 2: Send the meeting minutes and chart ([https://docs.com/minutes.pdf](https://docs.com/minutes.pdf), [https://docs.com/chart.png](https://docs.com/chart.png)) to John at +91-22-2345-6789. -> Files sent to +912223456789.', 'turn 3: Create an event ""Podcast Recording"" on April 22, 2025 from 9:00 AM to 11:00 AM with description ""Episode 10 interview with guest"". -> Event ""Podcast Recording"" (Episode 10 interview with guest) added on April 22, 2025, 9:00 AM–11:00 AM. View at content://calendar/event/7.']"	Actually, could you update her email to [sophia.wilson@newdomain.com]?	Actually, could you update the email of Sophia Wilson at content://contacts/people/1025 to [sophia.wilson@newdomain.com]?	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1025', 'contact_info': {'email': 'sophia.wilson@newdomain.com'}}}	ACTION_VIEW_CONTACT-777-ACTION_OPEN_DOCUMENT-1_NR-send_message-1-ACTION_EDIT_CONTACT-1	1	['ACTION_EDIT_CONTACT', 'search_location', 'open_settings', 'send_email', 'INTENT_ACTION_VIDEO_CAMERA']	ACTION_EDIT_CONTACT
"['turn 1: Start recording a video and save it to content://timelapse/tl_video.mp4. -> Got it! Recording has started and will be saved to content://timelapse/tl_video.mp4.', 'turn 2: Search the internet for funny Monday memes. -> Searching for ""funny Monday memes"": Here are some to brighten your Monday blues.', 'turn 3: Retrieve all contact information for content://com.example.contacts/555. -> Michael Johnson; Phone: 415-555-2678; Email: [m.johnson@example.com]; Address: 101 Pine Street, San Francisco, CA 94104.']"	Please trim the video to the segment from 10 to 20 seconds.	Edit content://timelapse/tl_video.mp4 trimming to select segment	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://timelapse/tl_video.mp4', 'edit_options': {'start_time': 10000, 'end_time': 20000}}}	ACTION_VIDEO_CAPTURE-746-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_VIDEO-1	1	['ACTION_VIEW_PLAYLIST', 'ACTION_EDIT_VIDEO', 'ACTION_SET_ALARM', 'ACTION_VIEW_CALL_LOG', 'play_video']	ACTION_EDIT_VIDEO
"['turn 1: Play the RTSP stream rtsp\://example.com/segment.sdp in MX Player. -> Now playing rtsp\://example.com/segment.sdp in MX Player.', 'turn 2: Create a vCard named contacts.vcf. -> vCard ""contacts.vcf"" created. Please choose a save location.', 'turn 3: Update Alan Turing’s address to 42 Computing Way at content://contacts/people/alan_turing. -> Alan Turing’s address has been updated to 42 Computing Way.']"	Actually, could you trim that stream segment from 5 to 15 seconds?	Actually, could you trim rtsp://example.com/segment.sdp from 5 to 15 seconds?	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'rtsp://example.com/segment.sdp', 'edit_options': {'start_time': 5000, 'end_time': 15000}}}	play_video-1437-ACTION_OPEN_DOCUMENT-1_NR-send_email-1-ACTION_EDIT_VIDEO-1	1	['get_contact_info_from_uri', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_SET_ALARM', 'ACTION_SET_RINGTONE', 'ACTION_EDIT_VIDEO']	ACTION_EDIT_VIDEO
['turn 1: Start recording a video. -> Recording complete! Your video is saved to content://device/videos/video123.avi.', 'turn 2: Let me choose a plain text log file. -> Sure—select a plain text log file.', 'turn 3: Record a video to content://output/videos/final.mp4. -> Done! The video has been saved to content://output/videos/final.mp4.']	Please trim previous avi video to only include the segment from 60 to 120 seconds.	Edit content://device/videos/video123.avi trimming to only include the segment from 60 to 120 seconds.	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://device/videos/video123.avi', 'edit_options': {'start_time': 60000, 'end_time': 120000}}}	ACTION_VIDEO_CAPTURE-757-get_contact_info-1_NR-dial-1-ACTION_EDIT_VIDEO-1	1	['ACTION_VIEW_RECENT_APPS', 'ACTION_GET_CONTENT', 'ACTION_SHOW_ALARMS', 'ACTION_EDIT_VIDEO', 'INTENT_ACTION_VIDEO_CAMERA']	ACTION_EDIT_VIDEO
"['turn 1: Dial 911 for emergency services. -> Calling 911—please stay on the line.', 'turn 2: Show me my sent messages. -> Here’s a snapshot of your sent messages: Mom – ""I’ll swing by in 5."", Alex – ""Happy Birthday again!"", Office – ""Invoice approved.""', 'turn 3: Enable video recording mode. -> Video recording interface is now active.']"	Actually, could you save this number as an emergency contact?	Actually, could you save 911 as an emergency contact?	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Emergency Contact', 'phone': '911'}}}	dial-935-ACTION_VIEW_CALL_LOG-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_INSERT_CONTACT-1	1	['send_email', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_INSERT_CONTACT', 'search_location', 'ACTION_VIEW_CALL_LOG']	ACTION_INSERT_CONTACT
