conversation_history	query	rewrited_query	answer	unique_idx	candidates
"[""turn 1: Yes—set 'Meditation Retreat' at Serenity Center, 45 Peace Way, Harmony City, CA on December 17, 2023 from 9:00 AM to 11:00 AM with description 'Full-day mindfulness practice session'. -> ‘Meditation Retreat’ is now on your calendar at Serenity Center, 45 Peace Way, Harmony City, CA, on December\xa017,\xa02023, from 9:00\xa0AM to 11:00\xa0AM. Access it via: content://calendar/event/111.""]"	Can you show me where that is?	Can you show me where Serenity Center, 45 Peace Way, Harmony City, CA is?	{'plan': 'search_location', 'arguments': {'query': 'Serenity Center, 45 Peace Way, Harmony City, CA'}}	ACTION_PICK-539-ACTION_INSERT_EVENT-1_NR-search_location-1-ACTION_INSERT_EVENT-1-search_location-1	['get_contact_info_from_uri', 'dial', 'search_location', 'get_contact_info', 'ACTION_VIEW_WEB_HISTORY']
"[""turn 1: Schedule an Onboarding Meeting at 4120\xa0Friedrich\xa0Lane, Austin, TX\xa078744, USA next Monday from 3 PM to 5 PM with description 'Welcome new hires' -> Your 'Onboarding Meeting' has been scheduled for April\xa08,\xa02024, 3:00\xa0PM–5:00\xa0PM at 4120\xa0Friedrich\xa0Lane, Austin,\xa0TX\xa078744, USA. Description: Welcome new hires. Check it here: content://calendar/event/302""]"	Where exactly is that venue located?	Where exactly is 4120 Friedrich Lane, Austin, TX 78744, USA located?	{'plan': 'search_location', 'arguments': {'query': '4120\xa0Friedrich\xa0Lane, Austin, TX\xa078744, USA'}}	ACTION_VIEW_CONTACT-786-ACTION_EDIT_CONTACT-1-search_location-1-ACTION_INSERT_EVENT-1-search_location-1	['send_email', 'search_location', 'ACTION_GET_RINGTONE', 'play_video', 'ACTION_EDIT_VIDEO']
"[""turn 1: Add an Afternoon Stroll at Rue de Rivoli, 75001 Paris, France this Sunday from 3 PM to 5 PM with description Walk along the riverbank -> Your 'Afternoon Stroll' has been set for this Sunday, 3:00\xa0PM–5:00\xa0PM at Rue de Rivoli, 75001 Paris, France. Walk along the riverbank. Here’s the link: content://calendar/event/307""]"	Could you locate it for me?	Could you locate Rue de Rivoli, 75001 Paris, France for me?	{'plan': 'search_location', 'arguments': {'query': 'Rue de Rivoli, 75001 Paris, France'}}	search_location-1145-ACTION_INSERT_EVENT-1-search_location-1-ACTION_INSERT_EVENT-1-search_location-1	['ACTION_SHOW_TIMERS', 'get_contact_info_from_uri', 'search_location', 'send_email', 'ACTION_INSERT_CONTACT']
"[""turn 1: Set up a Drum Rehearsal at 376 Avenue of the Americas, New\xa0York, NY\xa010014 tomorrow from 2 PM to 4 PM with description Focus on rhythm drills -> Got it! 'Drum Rehearsal' is set for tomorrow, 2:00\xa0PM–4:00\xa0PM at 376 Avenue of the Americas, New\xa0York, NY\xa010014. Focus on rhythm drills. Here’s the event: content://calendar/event/309""]"	Drop a map pin there.	Drop a map pin at 376 Avenue of the Americas, New York, NY 10014.	{'plan': 'search_location', 'arguments': {'query': '376 Avenue of the Americas, New York, NY 10014'}}	ACTION_VIEW_RECENT_APPS-2206-ACTION_INSERT_EVENT-1_NR-search_location-1-ACTION_INSERT_EVENT-1-search_location-1	['search_location', 'ACTION_SET_ALARM', 'ACTION_GET_CONTENT', 'open_settings', 'get_contact_info']
"[""turn 1: Input a calendar event for 'Business Strategy Meeting' intended to review our growth plans at the Main Office Conference Room. It should be scheduled from 1703200000000 to 1703207200000. -> Event 'Business Strategy Meeting' set for December\xa022,\xa02023 at Main Office Conference Room to review growth plans. See it here: content://calendar/event/2005""]"	Where is it on the map?	Where is Main Office Conference Room on the map?	{'plan': 'search_location', 'arguments': {'query': 'Main Office Conference Room'}}	ACTION_VIDEO_CAPTURE-707-send_email-1-ACTION_VIEW_SENT_EMAILS-1-ACTION_INSERT_EVENT-1_NR-search_location-1	['get_contact_info', 'ACTION_GET_RINGTONE', 'send_message', 'launch_application', 'search_location']
"[""turn 1: Please add an event called 'Gardening Workshop' that encourages community gardening. It will be held at City Park from 1701300000000 to 1701305400000. -> Garden time! 'Gardening Workshop' at City Park booked from 1701300000000 to 1701305400000. Event link: content://calendar/event/204""]"	Can you show me where it is?	Can you show me where City Park is?	{'plan': 'search_location', 'arguments': {'query': 'City Park'}}	ACTION_EDIT_VIDEO-1724-ACTION_SHOW_TIMERS-1_NR-ACTION_SET_TIMER-1-ACTION_INSERT_EVENT-1_NR-search_location-1	['ACTION_VIEW_EVENT', 'search_location', 'ACTION_VIEW_CALL_LOG', 'ACTION_SHOW_ALARMS', 'get_contact_info_from_uri']
"[""turn 1: I would like to set up an event titled 'Art Exhibition'. It's a public display of local art at Downtown Gallery from 1701100000000 to 1701103600000. -> Your 'Art Exhibition' at Downtown Gallery has been slated for 1701100000000 to 1701103600000. Check the event: content://calendar/event/206""]"	Where is it located on the map?	Where is Downtown Gallery located on the map?	{'plan': 'search_location', 'arguments': {'query': 'Downtown Gallery'}}	dial-958-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1-ACTION_INSERT_EVENT-1_NR-search_location-1	['ACTION_INSERT_EVENT', 'ACTION_VIDEO_CAPTURE', 'search_location', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_VIEW_CONTACT']
"[""turn 1: Update content://contacts/phone/55 with company 'TechCorp' and set email to user55@techcorp.com -> Nice! I've set the company to TechCorp and email to user55@techcorp.com for content://contacts/phone/55.""]"	Email them welcoming them to TechCorp.	Email user55@techcorp.com welcoming them to TechCorp.	{'plan': 'send_email', 'arguments': {'to': 'user55@techcorp.com', 'body': 'welcoming them to TechCorp.'}}	ACTION_OPEN_CONTENT-251-ACTION_PICK-1_NR-ACTION_VIEW_CONTACT-1-ACTION_EDIT_CONTACT-1-send_email-1	['send_email', 'ACTION_OPEN_DOCUMENT', 'ACTION_EDIT_VIDEO', 'ACTION_SET_ALARM', 'ACTION_NAVIGATE_TO_LOCATION']
['turn 1: Could you please provide a way to select my PDF file? -> PDF picker is up—just pick the document you need. You selected: content://drive/MyReports/AnnualReport.pdf.']	Email it to manager@example.com with subject 'Annual Report' and body 'Attached is the annual report for your review. Thanks.'	Email content://drive/MyReports/AnnualReport.pdf to manager@example.com with subject 'Annual Report' and body 'Attached is the annual report for your review. Thanks.'	{'plan': 'send_email', 'arguments': {'to': 'manager@example.com', 'subject': 'Annual Report', 'body': 'Attached is the annual report for your review. Thanks.', 'attachments': ['content://drive/MyReports/AnnualReport.pdf']}}	ACTION_EDIT_CONTACT-91-ACTION_OPEN_DOCUMENT-1_NR-send_message-1-ACTION_OPEN_DOCUMENT-1_NR-send_email-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'send_email', 'ACTION_INSERT_EVENT', 'ACTION_VIEW_EVENT', 'ACTION_SHOW_ALARMS']
['turn 1: I want to select one document that is in text format. Open my document picker. -> Opening the text document picker—choose your file. You picked: content://storage/documents/notes.txt.']	Email it to me@example.com with subject 'Meeting Notes' and a brief message 'Please find the notes attached.'	Email content://storage/documents/notes.txt to me@example.com with subject 'Meeting Notes' and a brief message 'Please find the notes attached.'	{'plan': 'send_email', 'arguments': {'to': 'me@example.com', 'subject': 'Meeting Notes', 'body': 'Please find the notes attached.', 'attachments': ['content://storage/documents/notes.txt']}}	play_music-1370-ACTION_VIEW_PLAYLIST-1-play_music-1-ACTION_OPEN_DOCUMENT-1_NR-send_email-1	['ACTION_PICK', 'ACTION_SET_ALARM', 'send_email', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS']
