conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo131.jpg named PhotoCopy131.jpg -> All set! Your copy 'PhotoCopy131.jpg' has been created at content://documents/PhotoCopy131.jpg.""]"	Open that XML config file	Open content://documents/settings.xml XML config file	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/settings.xml', 'mime_type': 'application/xml'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_SENT_EMAILS', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_ALARM', 'ACTION_GET_RINGTONE']
"['turn 1: Select multiple images to include in a photo collage. -> Here are the images you picked for the collage:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 2: Start my smartphone's camera in still image mode to snap a photo. -> Photo mode initiated. Feel free to take a snapshot."", 'turn 3: Pick content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all. -> All set! You selected:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 4: Create a new PDF named HolidayCollage.pdf and import content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all into it. -> All done! 'HolidayCollage.pdf' has been generated at content://documents/HolidayCollage.pdf.""]"	Show me that third collage image	Show me content://gallery/holiday3.jpg.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://gallery/holiday3.jpg'}}	ACTION_GET_CONTENT-171-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['get_contact_info_from_uri', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS']
"['turn 1: Grab me several audio tracks to create a new playlist. -> Cool—got your tracks:\n• content://music/track01.mp3\n• content://music/track02.mp3\n• content://music/track03.mp3', 'turn 2: Compile content://music/track01.mp3, content://music/track02.mp3, and content://music/track03.mp3 into a playlist file named MyPlaylist.m3u -> All set! Your new playlist MyPlaylist.m3u is available at content://documents/MyPlaylist.m3u', ""turn 3: Edit content://documents/MyPlaylist.m3u to add a comment at the top indicating it's for workouts -> Workout note added at the top of MyPlaylist.m3u. Your playlist is updated: content://documents/MyPlaylist.m3u"", ""turn 4: Switch to the camera's still image mode so I can take a picture. -> Switched to still image mode. Smile when you're ready!""]"	Play that second audio track.	Play content://music/track02.mp3.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://music/track02.mp3', 'mime_type': 'audio/mpeg'}}	ACTION_GET_CONTENT-169-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_OPEN_CONTENT', 'ACTION_SHOW_ALARMS', 'search_location']
"['turn 1: Shoot and let the app handle file location. -> Shot fired! Image stored at content://camera_roll/IMG_7890.png.', ""turn 2: Please retrieve a mobile phone number from my contacts for me. -> Here's the mobile number you picked: content://contacts/phone/89"", 'turn 3: Call content://contacts/phone/89 -> Dialing content://contacts/phone/89...', 'turn 4: Can you display my recent calls? -> Here’s your most recent call list:\n• +1-234-567-8901 (Incoming) – Today, 11:10\xa0AM\n• +1-098-765-4321 (Missed) – Yesterday, 9:05\xa0PM\n• +1-321-654-9870 (Outgoing) – June\xa09, 3:30\xa0PM']"	Show me that photo	Show me content://camera_roll/IMG_7890.png	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_roll/IMG_7890.png'}}	ACTION_IMAGE_CAPTURE-372-ACTION_PICK-1_NR-dial-1-ACTION_VIEW_CALL_LOG-1-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_VIDEO_CAPTURE', 'play_video', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_CONTENT']
['turn 1: Photograph this bar code and store at content://codes/barcode/bar_001.png -> Barcode photo taken—find it at content://codes/barcode/bar_001.png.', 'turn 2: Please launch LinkedIn so I can update my professional profile. -> LinkedIn launched—ready for your profile updates.', 'turn 3: Start the video camera app immediately so I can record something. -> Video app opened. You’re all set to record!', 'turn 4: Capture the video camera app now. -> Video camera is open and recording. Let’s get that footage!']	Display that barcode image	Display content://codes/barcode/bar_001.png barcode image	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://codes/barcode/bar_001.png'}}	ACTION_IMAGE_CAPTURE-374-launch_application-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_PLAYLIST', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_EVENT', 'ACTION_IMAGE_CAPTURE', 'send_email']
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", ""turn 2: Play content://documents/audio_sample.wav -> Now playing 'audio_sample.wav' from content://documents/audio_sample.wav."", 'turn 3: Could you pull up an email address from my directory? -> I’ve got an email address for you: content://contacts/email/8', 'turn 4: Update the name of content://contacts/email/8 to Elizabeth Taylor -> All done! The name for content://contacts/email/8 is now Elizabeth Taylor.']"	Email that audio clip to soundteam@example.com with subject 'Audio Sample' and include in the body 'Here is the WAV file'	Email content://documents/audio_sample.wav to soundteam@example.com with subject 'Audio Sample' and include in the body 'Here is the WAV file'	{'plan': 'send_email', 'arguments': {'to': 'soundteam@example.com', 'subject': 'Audio Sample', 'body': 'Here is the WAV file', 'attachments': ['content://documents/audio_sample.wav']}}	ACTION_CREATE_DOCUMENT-35-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_email-1	1	['ACTION_VIEW_SENT_MESSAGES', 'send_email', 'ACTION_GET_CONTENT', 'play_music', 'ACTION_EDIT_VIDEO']
"['turn 1: Please pick multiple ZIP archives from local storage. -> Sure thing! Here are the ZIP archives you selected:\n- content://downloads/backups/backup_jan.zip\n- content://downloads/backups/backup_feb.zip', ""turn 2: Open content://downloads/backups/backup_feb.zip -> Opening archive 'backup_feb.zip' at content://downloads/backups/backup_feb.zip."", 'turn 3: Help me select a mailing address from my saved contacts. -> Alright—launching the address picker. Please select an entry… Here’s what you chose: content://contacts/addresses/27', 'turn 4: Show me the contact for content://contacts/addresses/27. -> Here’s the contact info for content://contacts/addresses/27: Name: Chandler Bing. Address: 789 Pine St, Phoenix, AZ 85001. Phone: 480-555-0127. Email: chandler.bing@paleolothic.com.']"	Email those ZIP archives to backup@mydrive.com with subject 'Monthly Backups' and body 'Please store these on the remote server.'	Email content://downloads/backups/backup_jan.zip and content://downloads/backups/backup_feb.zip to backup@mydrive.com with subject 'Monthly Backups' and body 'Please store these on the remote server.'	{'plan': 'send_email', 'arguments': {'to': 'backup@mydrive.com', 'subject': 'Monthly Backups', 'body': 'Please store these on the remote server.', 'attachments': ['content://downloads/backups/backup_jan.zip', 'content://downloads/backups/backup_feb.zip']}}	ACTION_OPEN_DOCUMENT-121-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_VIEW_CONTACT-1-send_email-1	1	['ACTION_GET_RINGTONE', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_RECENT_APPS', 'send_email', 'ACTION_VIEW_WEB_HISTORY']
"['turn 1: Select a video file of any format to preview. -> Please select a video file to preview.', ""turn 2: Send a video file to Dave in a text message saying 'Check this video.' -> Message 'Check this video.' delivered to Dave successfully."", 'turn 3: Launch the file selector to choose an image file from my photos. -> Launching the image picker—please choose the photo you want to open.', ""turn 4: Send the image file from my photos to bob@example.com with note 'Check out this shot.' -> Done—your note “Check out this shot.” has been emailed to bob@example.com.""]"	Email that video file to media@example.com with subject 'Preview Video' and say 'Take a look at this clip.'	Email the image file from my photos to media@example.com with subject 'Preview Video' and say 'Take a look at this clip.'	{'plan': 'send_email', 'arguments': {'to': 'media@example.com', 'subject': 'Preview Video', 'body': 'Take a look at this clip.'}}	ACTION_OPEN_DOCUMENT-117-send_message-1-ACTION_OPEN_DOCUMENT-1_NR-send_email-1-send_email-1	1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_PICK', 'send_email', 'ACTION_EDIT_VIDEO']
['turn 1: Choose several PPT slideshows. -> Got it! Feel free to pick multiple PowerPoint slideshow files (.ppt).', 'turn 2: Access the internal storage settings for my device, please. -> Internal storage settings are now open—manage your device storage as needed.', 'turn 3: Show me a complete summary for /data/alex. -> Here’s the contact summary for /data/alex:\n• Name: Alex Turner\n• Phone: 555-482-1010\n• Email: alex.turner@mobilemail.com\n• Address: 123 Cedar Road, Apt. 5', 'turn 4: Give 555-482-1010 a call -> Dialing 555-482-1010 now...']	Send those slideshows to marketing@example.com with subject 'Presentation Slides' and body 'Here's the deck for tomorrow's meeting.'	Send several PPT slideshows to marketing@example.com with subject 'Presentation Slides' and body 'Here's the deck for tomorrow's meeting.'	"{'plan': 'send_email', 'arguments': {'to': 'marketing@example.com', 'subject': 'Presentation Slides', 'body': ""Here's the deck for tomorrow's meeting.""}}"	ACTION_OPEN_DOCUMENT-153-open_settings-1_NR-get_contact_info-1_NR-dial-1-send_email-1	1	['ACTION_SHOW_ALARMS', 'ACTION_GET_CONTENT', 'search_location', 'send_email', 'get_contact_info']
"[""turn 1: I'd like to upload any type of file for a quick backup. -> Your file has been selected for backup: content://files/backup_archive.zip"", 'turn 2: Save content://files/backup_archive.zip as a new ZIP file named FullBackup.zip -> Backup complete: you can find FullBackup.zip here: content://documents/FullBackup.zip', 'turn 3: Edit content://documents/FullBackup.zip to add a README file describing its contents -> Your backup archive has been updated with a README describing its contents. Access the revised FullBackup.zip here: content://documents/FullBackup.zip', ""turn 4: Could you pick a contact for me from my records? -> I've selected a contact for you: content://contacts/people/15""]"	Email that backup file to eve@example.com	Email content://documents/FullBackup.zip to eve@example.com	{'plan': 'send_email', 'arguments': {'to': 'eve@example.com', 'attachments': ['content://documents/FullBackup.zip']}}	ACTION_GET_CONTENT-170-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_PICK-1_NR-send_email-1	1	['ACTION_EDIT_CONTACT', 'send_email', 'ACTION_OPEN_DOCUMENT', 'dial', 'ACTION_IMAGE_CAPTURE']
