conversation_history	query	rewrited_query	answer	unique_idx	candidates
['turn 1: Please run the Calendar app and show me today’s events. -> Calendar has been launched successfully. Here’s today’s agenda.']	Show the editing view for the document at content://docs/schedule; please prefill it using 'Meeting schedule updated'.	Show the editing view for the document at content://docs/schedule; please prefill it using 'Meeting schedule updated'.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://docs/schedule', 'content': 'Meeting schedule updated'}}	launch_application-1511-ACTION_EDIT_DOCUMENT-1_NR	['play_music', 'ACTION_EDIT_VIDEO', 'search_location', 'ACTION_EDIT_DOCUMENT', 'get_contact_info']
"[""turn 1: Open the system's photo camera interface. -> Photo camera interface opened. Ready when you are!""]"	I need to modify the document at content://texts/story; no additional content is required.	I need to modify the document at content://texts/story; no additional content is required.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://texts/story'}}	INTENT_ACTION_STILL_IMAGE_CAMERA-862-ACTION_EDIT_DOCUMENT-1_NR	['ACTION_GET_RINGTONE', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_DOCUMENT', 'open_settings']
"['turn 1: Use this AIFF file for calls: content://storage/emulated/0/MM/ringtone.aiff -> Your calls will now ring with ""ringtone.aiff.""']"	Kindly create an alarm at 19:05 with the label 'Gym' that repeats on Friday and Saturday.	Kindly create an alarm at 19:05 with the label 'Gym' that repeats on Friday and Saturday.	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 19, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Gym', 'EXTRA_DAYS': ['Friday', 'Saturday']}}	ACTION_SET_RINGTONE-1615-ACTION_SET_ALARM-1_NR	['open_settings', 'ACTION_SET_ALARM', 'web_search', 'play_music', 'ACTION_SET_RINGTONE']
['turn 1: Could you get the technical support extension at content://contacts/888/phone_support_ext? -> Technical support extension: 1-800-555-0123 ext. 789.']	Can you set an alarm for 13:05 labeled 'Lunchtime' and disable vibrations?	Can you set an alarm for 13:05 labeled 'Lunchtime' and disable vibrations?	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 13, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunchtime', 'EXTRA_VIBRATE': False}}	get_contact_info_from_uri-1062-ACTION_SET_ALARM-1_NR	['ACTION_SET_ALARM', 'ACTION_CREATE_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION', 'dial', 'send_message']
"[""turn 1: Can you get the video camera up and running? -> You're all set—the video camera is open.""]"	I need an alarm at 8:25 AM with no additional settings.	I need an alarm at 8:25 AM with no additional settings.	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 8, 'EXTRA_MINUTES': 25}}	INTENT_ACTION_VIDEO_CAMERA-912-ACTION_SET_ALARM-1_NR	['open_settings', 'ACTION_INSERT_CONTACT', 'play_music', 'send_email', 'ACTION_SET_ALARM']
['turn 1: Open the ODT document at content://docs/thesis.odt -> Opening document thesis.odt from content://docs/thesis.odt.']	Switch my phone's ringtone over to content://media/fantasy_rhythm.	Switch my phone's ringtone over to content://media/fantasy_rhythm.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/fantasy_rhythm'}}	ACTION_OPEN_CONTENT-260-ACTION_SET_RINGTONE-1_NR	['ACTION_SET_RINGTONE', 'INTENT_ACTION_VIDEO_CAMERA', 'launch_application', 'ACTION_SHOW_TIMERS', 'ACTION_VIEW_PLAYLIST']
['turn 1: Find me the bus terminal at 34th and 7th in Manhattan. -> Pin dropped at 34th\xa0St & 7th\xa0Ave Bus Terminal, Manhattan, NY\xa010001. See it on your map.']	Establish content://media/cool_jingle as the new default ringtone on my device.	Establish content://media/cool_jingle as the new default ringtone on my device.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/cool_jingle'}}	search_location-1170-ACTION_SET_RINGTONE-1_NR	['ACTION_SET_RINGTONE', 'ACTION_GET_RINGTONE', 'ACTION_INSERT_EVENT', 'ACTION_SET_ALARM', 'get_contact_info_from_uri']
['turn 1: I need the contact profile tied to content://contacts/people/1011. -> Here is the profile tied to content://contacts/people/1011:\nName: Isabella Taylor\nPhone: 555-0111\nEmail: isabella.taylor@example.com']	Set up the ringtone with URI content://media/pulse_tune for my incoming calls.	Set up the ringtone with URI content://media/pulse_tune for my incoming calls.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/pulse_tune'}}	ACTION_VIEW_CONTACT-768-ACTION_SET_RINGTONE-1_NR	['web_search', 'send_message', 'ACTION_EDIT_CONTACT', 'ACTION_SET_TIMER', 'ACTION_SET_RINGTONE']
['turn 1: I want to cut segment from 0 to 7 seconds in content://kids/cartoon.mp4 -> Your cartoon clip is set to play from 0 to 7 seconds—video loaded with that segment.']	Would it be possible to see which timers are still active?	Would it be possible to see which timers are still active?	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	ACTION_EDIT_VIDEO-1724-ACTION_SHOW_TIMERS-1_NR	['ACTION_PICK', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_SHOW_TIMERS', 'ACTION_VIEW_CALL_LOG']
['turn 1: Start playing music on YouTube Music. -> Getting YouTube Music ready for you.']	Display a summary of my currently running timers.	Display a summary of my currently running timers.	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	play_music-1360-ACTION_SHOW_TIMERS-1_NR	['ACTION_VIEW_EVENT', 'send_email', 'search_location', 'send_message', 'ACTION_SHOW_TIMERS']
