conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo131.jpg named PhotoCopy131.jpg -> All set! Your copy 'PhotoCopy131.jpg' has been created at content://documents/PhotoCopy131.jpg.""]"	Open that XML config file	Open content://documents/settings.xml XML config file	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/settings.xml', 'mime_type': 'application/xml'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_SENT_EMAILS', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_ALARM', 'ACTION_GET_RINGTONE']
"['turn 1: Select multiple images to include in a photo collage. -> Here are the images you picked for the collage:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 2: Start my smartphone's camera in still image mode to snap a photo. -> Photo mode initiated. Feel free to take a snapshot."", 'turn 3: Pick content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all. -> All set! You selected:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 4: Create a new PDF named HolidayCollage.pdf and import content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all into it. -> All done! 'HolidayCollage.pdf' has been generated at content://documents/HolidayCollage.pdf.""]"	Show me that third collage image	Show me content://gallery/holiday3.jpg.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://gallery/holiday3.jpg'}}	ACTION_GET_CONTENT-171-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['get_contact_info_from_uri', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS']
"['turn 1: Grab me several audio tracks to create a new playlist. -> Cool—got your tracks:\n• content://music/track01.mp3\n• content://music/track02.mp3\n• content://music/track03.mp3', 'turn 2: Compile content://music/track01.mp3, content://music/track02.mp3, and content://music/track03.mp3 into a playlist file named MyPlaylist.m3u -> All set! Your new playlist MyPlaylist.m3u is available at content://documents/MyPlaylist.m3u', ""turn 3: Edit content://documents/MyPlaylist.m3u to add a comment at the top indicating it's for workouts -> Workout note added at the top of MyPlaylist.m3u. Your playlist is updated: content://documents/MyPlaylist.m3u"", ""turn 4: Switch to the camera's still image mode so I can take a picture. -> Switched to still image mode. Smile when you're ready!""]"	Play that second audio track.	Play content://music/track02.mp3.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://music/track02.mp3', 'mime_type': 'audio/mpeg'}}	ACTION_GET_CONTENT-169-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_OPEN_CONTENT', 'ACTION_SHOW_ALARMS', 'search_location']
"['turn 1: Shoot and let the app handle file location. -> Shot fired! Image stored at content://camera_roll/IMG_7890.png.', ""turn 2: Please retrieve a mobile phone number from my contacts for me. -> Here's the mobile number you picked: content://contacts/phone/89"", 'turn 3: Call content://contacts/phone/89 -> Dialing content://contacts/phone/89...', 'turn 4: Can you display my recent calls? -> Here’s your most recent call list:\n• +1-234-567-8901 (Incoming) – Today, 11:10\xa0AM\n• +1-098-765-4321 (Missed) – Yesterday, 9:05\xa0PM\n• +1-321-654-9870 (Outgoing) – June\xa09, 3:30\xa0PM']"	Show me that photo	Show me content://camera_roll/IMG_7890.png	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://camera_roll/IMG_7890.png'}}	ACTION_IMAGE_CAPTURE-372-ACTION_PICK-1_NR-dial-1-ACTION_VIEW_CALL_LOG-1-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_VIDEO_CAPTURE', 'play_video', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_OPEN_CONTENT']
['turn 1: Photograph this bar code and store at content://codes/barcode/bar_001.png -> Barcode photo taken—find it at content://codes/barcode/bar_001.png.', 'turn 2: Please launch LinkedIn so I can update my professional profile. -> LinkedIn launched—ready for your profile updates.', 'turn 3: Start the video camera app immediately so I can record something. -> Video app opened. You’re all set to record!', 'turn 4: Capture the video camera app now. -> Video camera is open and recording. Let’s get that footage!']	Display that barcode image	Display content://codes/barcode/bar_001.png barcode image	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://codes/barcode/bar_001.png'}}	ACTION_IMAGE_CAPTURE-374-launch_application-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_PLAYLIST', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_EVENT', 'ACTION_IMAGE_CAPTURE', 'send_email']
"['turn 1: Please take a photo and let the system decide where to save it. -> Got it. Photo taken and stored at content://media/internal/photos/IMG_20230615_100200.jpg.', 'turn 2: Select a personal contact entry from my list. -> Personal contacts shown. You chose content://contacts/people/27.', ""turn 3: Can you display content://contacts/people/27's full information? -> Here you go: displaying full contact profile from content://contacts/people/27."", ""turn 4: Edit content://contacts/people/27 to update content://contacts/people/27's phone number to 555-1234 -> Phone number updated to 555-1234 for content://contacts/people/27.""]"	Open that saved picture	Open content://media/internal/photos/IMG_20230615_100200.jpg.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/internal/photos/IMG_20230615_100200.jpg'}}	ACTION_IMAGE_CAPTURE-370-ACTION_PICK-1_NR-ACTION_VIEW_CONTACT-1-ACTION_EDIT_CONTACT-1-ACTION_OPEN_CONTENT-1	1	['dial', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_OPEN_CONTENT', 'ACTION_INSERT_CONTACT']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime."", 'turn 3: Choose a video clip for immediate sharing -> Sure thing! Here’s the clip ready to share: content://temp/shared_video.mp4', 'turn 4: Trim content://temp/shared_video.mp4 from 10 seconds to 40 seconds -> Done trimming from 0:10 to 0:40. Your clip is at content://temp/shared_video_10-40s.mp4.']"	Please email that JPEG to team@social.com with body 'Check out this new profile picture'	Please email content://documents/ProfilePic.jpg to team@social.com with body 'Check out this new profile picture'	{'plan': 'send_email', 'arguments': {'to': 'team@social.com', 'body': 'Check out this new profile picture', 'attachments': ['content://documents/ProfilePic.jpg']}}	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1-send_email-1	1	['send_email', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_CONTACT', 'get_contact_info', 'ACTION_GET_CONTENT']
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", ""turn 2: Play content://documents/audio_sample.wav -> Now playing 'audio_sample.wav' from content://documents/audio_sample.wav."", 'turn 3: Could you pull up an email address from my directory? -> I’ve got an email address for you: content://contacts/email/8', 'turn 4: Update the name of content://contacts/email/8 to Elizabeth Taylor -> All done! The name for content://contacts/email/8 is now Elizabeth Taylor.']"	Email that audio clip to soundteam@example.com with subject 'Audio Sample' and include in the body 'Here is the WAV file'	Email content://documents/audio_sample.wav to soundteam@example.com with subject 'Audio Sample' and include in the body 'Here is the WAV file'	{'plan': 'send_email', 'arguments': {'to': 'soundteam@example.com', 'subject': 'Audio Sample', 'body': 'Here is the WAV file', 'attachments': ['content://documents/audio_sample.wav']}}	ACTION_CREATE_DOCUMENT-35-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_email-1	1	['ACTION_VIEW_SENT_MESSAGES', 'send_email', 'ACTION_GET_CONTENT', 'play_music', 'ACTION_EDIT_VIDEO']
['turn 1: Create an XML config file named settings.xml. -> Your XML file settings.xml is now available at content://documents/settings.xml.', 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', 'turn 4: Show me content://temp/photo131.jpg -> Taking you straight to content://temp/photo131.jpg.']	Email that XML config file to devops@example.com asking for a review	Email content://documents/settings.xml to devops@example.com asking for a review	{'plan': 'send_email', 'arguments': {'to': 'devops@example.com', 'attachments': ['content://documents/settings.xml'], 'body': 'asking for a review'}}	ACTION_CREATE_DOCUMENT-14-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_OPEN_CONTENT-1-send_email-1	1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_VIEW_EVENT', 'ACTION_GET_RINGTONE', 'send_email', 'ACTION_CREATE_DOCUMENT']
"['turn 1: Hey, please update the address and email for Frank (URI: content://contacts/people/frank). Address: 55 Maple Ave, Boston. Email: frank@maple.com -> Alright, opening Frank’s contact. You can fill in the address 55 Maple Ave, Boston and email frank@maple.com.', 'turn 2: Show me where 55 Maple Ave, Boston is. -> Mapping 55 Maple Ave: 55 Maple Ave, Boston, MA 02134, USA—take a look!', 'turn 3: Guide me to 55 Maple Ave, Boston. -> Launching navigation to 55 Maple Ave, Boston. Enjoy the ride!', ""turn 4: Find recent studies on the advantages of meditation. -> Search results for 'advantages of meditation recent studies': Evidence highlights stress reduction, enhanced cognitive performance, and better emotional regulation.""]"	Email her with subject 'Address Updated' and body 'Your address has been updated to 55 Maple Ave, Boston.'	Email frank@maple.com with subject 'Address Updated' and body 'Your address has been updated to 55 Maple Ave, Boston.'	{'plan': 'send_email', 'arguments': {'to': 'frank@maple.com', 'subject': 'Address Updated', 'body': 'Your address has been updated to 55 Maple Ave, Boston.'}}	ACTION_EDIT_CONTACT-62-search_location-1-ACTION_NAVIGATE_TO_LOCATION-1-web_search-1_NR-send_email-1	1	['web_search', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIDEO_CAPTURE', 'ACTION_EDIT_ALARM', 'send_email']
