conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates	plan
["turn 1: Create a 6:45 AM alarm labeled 'Morning workout' without confirmation UI. -> Your 'Morning workout' alarm has been set for 6:45 AM—no confirmation screen needed. (ID: alarm_no17)", "turn 2: Could you pull up the history of my last internet session? -> Here's the history of your last internet session: Wikipedia: Mars exploration; NASA: Perseverance Rover; Space.com: Black holes article; The Planetary Society: James Webb Telescope update; National Geographic: Space Photography feature.", "turn 3: Pick multiple invoices in PDF format. -> Sure—please select the PDF invoices you want.", "turn 4: Start the Messages app to read my new texts. -> The Messages app is now open. You can check your new texts."]	Actually, change that alarm to 7:00 AM, rename it 'Sunrise workout', and set it to repeat on weekends.	Change 'alarm_no17' to go off at 7:00 AM, rename it 'Sunrise workout', and set it to repeat on weekends.	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 17, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Sunrise workout', 'EXTRA_DAYS': ['Saturday', 'Sunday']}}	ACTION_SET_ALARM-552-ACTION_SHOW_ALARMS-1-ACTION_SET_ALARM-1-ACTION_VIEW_WEB_HISTORY-1_NR-ACTION_EDIT_ALARM-1	1	['ACTION_EDIT_ALARM', 'ACTION_PICK', 'ACTION_GET_RINGTONE', 'open_settings', 'ACTION_CREATE_DOCUMENT']	ACTION_EDIT_ALARM
["turn 1: Set an alarm for 7:00 AM with the ringtone uri://alarm_sound_1. -> Your alarm (ID: alarm_no7) has been set for 7:00 AM with the custom ringtone (uri://alarm_sound_1).", "turn 2: Start recording a video for my assignment and save it to content://assignments/vid1.mp4. -> Recording started. Your assignment video has been saved to content://assignments/vid1.mp4.", "turn 3: Select a PowerPoint presentation file. -> Sure—please pick the PowerPoint presentation you’d like.", "turn 4: Update the company for Rachel at content://contacts/people/rachel to DesignHub. -> Done—Rachel’s company is now set to DesignHub. You can view it at content://contacts/people/rachel."]	Actually, change that alarm to 6:45 AM on weekdays with the default ringtone, and label it 'Weekday rise'.	Change alarm_no7 to 6:45 AM on weekdays with the default ringtone and label it 'Weekday rise'.	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 6, 'EXTRA_MINUTES': 45, 'EXTRA_MESSAGE': 'Weekday rise', 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']}}	ACTION_SET_ALARM-550-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	1	['ACTION_INSERT_CONTACT', 'ACTION_EDIT_ALARM', 'dial', 'INTENT_ACTION_VIDEO_CAMERA', 'send_email']	ACTION_EDIT_ALARM
["turn 1: Could you set a recurring alarm for medication at 10:15 PM on Mondays and Thursdays? -> Your medication reminder (ID: alarm_no7) is set for 10:15 PM every Monday and Thursday.", "turn 2: Start video capture now. -> Video mode activated—camera is live.", "turn 3: Please open content://documents/doc/616 and don’t add any text yet. -> Opening content://documents/doc/616. Ready for your edits.", "turn 4: Add an event: ‘Guitar Lesson’ on June 12, 2024, from 5:00 PM to 6:00 PM at Music Academy, description ‘Weekly lesson with instructor’. -> Done! ‘Guitar Lesson’ has been scheduled for June 12, 2024, 5:00 PM–6:00 PM at Music Academy. See details: content://calendar/event/1004."]	Actually, change that alarm to fire at 10:00 PM instead.	Change alarm_no7 to fire at 10:00 PM instead.	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 7, 'EXTRA_HOUR': 22, 'EXTRA_MINUTES': 0}}	ACTION_SET_ALARM-560-ACTION_EDIT_ALARM-1-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1-ACTION_EDIT_ALARM-1	1	['ACTION_EDIT_ALARM', 'ACTION_IMAGE_CAPTURE', 'dial', 'play_video', 'ACTION_OPEN_CONTENT']	ACTION_EDIT_ALARM
["turn 1: Show me the phone number and email for content://contacts/people/1035. -> Here are the phone number and email for content://contacts/people/1035.", "turn 2: Set a 10-minute timer named 'Tea steeping'. -> The 'Tea steeping' timer is set for 10 minutes.", "turn 3: Display all sent messages. -> Your Sent messages folder appears to be empty.", "turn 4: Select one image from my gallery. -> Got it. You selected: content://temp/DCIM/Camera/IMG_20230815_123456.jpg."]	Update that contact's email to [user1035@newdomain.com].	Update content://contacts/people/1035's email to [user1035@newdomain.com].	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'email': 'user1035@newdomain.com'}}}	ACTION_VIEW_CONTACT-786-ACTION_EDIT_CONTACT-1-search_location-1-ACTION_INSERT_EVENT-1-ACTION_EDIT_CONTACT-1	1	['ACTION_SET_RINGTONE', 'play_video', 'ACTION_GET_CONTENT', 'ACTION_EDIT_CONTACT', 'send_email']	ACTION_EDIT_CONTACT
["turn 1: Add contact Sarah Connor with phone number 610-555-1212 and email [sarah.connor@resistance.net]. -> Created Sarah Connor’s contact: content://contacts/people/sarah_connor", "turn 2: Search for the Golden Pavilion in Kyoto. -> Here’s what I found: Kinkaku-ji (Golden Pavilion), 1 Kinkakujicho, Kita Ward, Kyoto 603-8361, Japan.", "turn 3: Upload any file for backup. -> Your file has been backed up: content://files/backup_archive.zip", "turn 4: Open Wi-Fi settings on my phone. -> Wi-Fi settings are now open."]	Actually, add the address '42 Galaxy Way, Los Angeles, CA' to that contact.	Add address '42 Galaxy Way, Los Angeles, CA' to content://contacts/people/sarah_connor.	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/sarah_connor', 'contact_info': {'address': '42 Galaxy Way, Los Angeles, CA'}}}	ACTION_INSERT_CONTACT-426-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-get_contact_info_from_uri-1_NR-ACTION_EDIT_CONTACT-1	1	['ACTION_VIEW_CONTACT', 'ACTION_EDIT_CONTACT', 'ACTION_SHOW_TIMERS', 'ACTION_GET_CONTENT', 'get_contact_info_from_uri']	ACTION_EDIT_CONTACT
["turn 1: Record a four quick video snippet -> Recording your snippet—all of that saved at content://snippets/clip1.mp4, content://snippets/clip3.mp4. content://snippets/clip4.mp4. and content://snippets/clip2.mp4.", "turn 2: Open the EPUB at content://pdfs/ebook.epub. -> Opening the EPUB eBook at content://pdfs/ebook.epub.", "turn 3: Save Gabrielle Union with email [gabrielle@universal.com] and company Universal Pictures. -> Gabrielle Union has been saved to your contacts with email [gabrielle@universal.com] and company Universal Pictures. Find it at content://contacts/people/gabrielle_union.", "turn 4: Show me the apps I've used recently. -> Here are the apps you've used recently: Maps; Messages; Chrome; YouTube; Calendar."]	Please trim second one snippet from 5 seconds to 20 seconds.	Trim the video snippet at content://snippets/clip3.mp4 from 5 seconds to 20 seconds.	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://snippets/clip3.mp4', 'edit_options': {'start_time': 5000, 'end_time': 20000}}}	ACTION_VIDEO_CAPTURE-751-launch_application-1_NR-ACTION_INSERT_EVENT-1_NR-search_location-1-ACTION_EDIT_VIDEO-1	1	['ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA', 'play_video', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_VIDEO']	ACTION_EDIT_VIDEO
["turn 1: Launch MX Player to play rtsp\://example.com/segment.sdp. -> MX Player is now streaming rtsp\://example.com/segment.sdp.", "turn 2: Create a rich text file named Biography.rtf. -> Biography.rtf has been created at content://documents/Biography.rtf.", "turn 3: Update contact at content://contacts/people/zoe: add company Zeta Inc, email [zoe@zeta.io], and phone 1231231234. -> Zoe’s contact has been updated at content://contacts/people/zoe with company Zeta Inc, email [zoe@zeta.io], and phone 1231231234.", "turn 4: Send 'St Patrick's Day parade starts at noon.' to +353876543210. -> Your St Patrick's Day parade reminder has been sent to +353876543210."]	Trim that segment to only include from 10s to 40s.	Trim rtsp\://example.com/segment.sdp to only include from 10 seconds to 40 seconds.	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'rtsp\://example.com/segment.sdp', 'edit_options': {'start_time': 10000, 'end_time': 40000}}}	play_video-1437-ACTION_EDIT_VIDEO-1-launch_application-1_NR-open_settings-1_NR-ACTION_EDIT_VIDEO-1	1	['ACTION_SET_RINGTONE', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_VIDEO', 'send_email', 'ACTION_CREATE_DOCUMENT']	ACTION_EDIT_VIDEO
["turn 1: Start recording video now. -> Recording started—your video is saved at content://videos/recording_003.mp4.", "turn 2: Pick a phone number from my contacts. -> Sure—just tap the contact whose number you'd like.", "turn 3: Show me all details stored at content://com.app.addressbook/contacts/321. -> Here are the details for content://com.app.addressbook/contacts/321: Name: Mike Brown; Phone: 323-555-0178; Email: [mbrown@comapp.com]; Address: 1024 Sunset Blvd, Los Angeles, CA.", "turn 4: Show me my sent mail items. -> Here are your recent sent emails: [claire.liu@example.com]: 'Event Invitation'; [tom.hanks@example.com]: 'Feedback Request'; [sara.connor@example.com]: 'Project Timeline'."]	Actually, trim that recording to start at 10 seconds and end at 1 minute.	Trim content://videos/recording_003.mp4 so that it starts at 10 seconds and ends at 1 minute.	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://videos/recording_003.mp4', 'edit_options': {'start_time': 10000, 'end_time': 60000}}}	ACTION_VIDEO_CAPTURE-709-send_email-1-ACTION_VIEW_SENT_EMAILS-1-ACTION_VIEW_WEB_HISTORY-1_NR-ACTION_EDIT_VIDEO-1	1	['launch_application', 'ACTION_EDIT_VIDEO', 'ACTION_VIEW_PLAYLIST', 'open_settings', 'ACTION_INSERT_EVENT']	ACTION_EDIT_VIDEO
["turn 1: Dial +1 (202) 555-0187 for the DC office. -> Connecting to +1 (202) 555-0187 for the DC office.", "turn 2: Update Elena’s contact at content://contacts/people/elena: set company to ElenaCorp and email to [elena@corporation.com]. -> Elena’s contact has been updated: company set to ElenaCorp; email updated to [elena@corporation.com]. (URI: content://contacts/people/elena)", "turn 3: Show my call history. -> Here is your call history: Mia +61 2 9876 5432 (Incoming) at 12:00 PM today; Noah +81 3-1234-5678 (Missed) at 9:25 AM today; Olivia +1-202-555-0170 (Outgoing) at 6:40 PM yesterday.", "turn 4: Launch the video camera. -> Video camera launched successfully."]	Please add +1 (202) 555-0187 as a contact named 'DC office'.	Create a new contact named 'DC office' with phone number +1 (202) 555-0187.	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'DC office', 'phone': '+1 (202) 555-0187'}}}	dial-966-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1-ACTION_INSERT_CONTACT-1	1	['play_music', 'ACTION_GET_CONTENT', 'ACTION_INSERT_CONTACT', 'web_search', 'ACTION_IMAGE_CAPTURE']	ACTION_INSERT_CONTACT
["turn 1: Could you call 404-404-4044? -> Connecting to 404-404-4044 now.", "turn 2: Select multiple videos for a montage edit. -> Sure—select as many video clips as you’d like for the montage.", "turn 3: Show me my ringtones so I can choose a new alarm sound. -> Here’s your ringtone library. Your alarm sound is now set to content://media/internal/audio/media/12.", "turn 4: Show the phone number for contact content://profiles/contacts/905. -> The phone number is 442-334-6677."]	Please save the number ending in 4044 to my contacts.	Save the phone number 404-404-4044 to your contacts.	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'phone': '404-404-4044'}}}	dial-927-ACTION_INSERT_CONTACT-1-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_INSERT_CONTACT-1	1	['ACTION_SET_RINGTONE', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_CONTACT', 'ACTION_GET_CONTENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA']	ACTION_INSERT_CONTACT
