conversation_history	query	rewrited_query	answer	unique_idx	candidates
"['turn 1: Please load content://games/trailer.mp4 and silence it. -> Your game trailer (content://games/trailer.mp4) is loaded and muted—ready for any further edits.', 'turn 2: Using the given URI contact://office/extension-155, retrieve the contact extension number. -> Extension number fetched: 155.', ""turn 3: Please enable video mode so I can capture a live event using my phone's camera. -> Video camera opened. You can start filming the live event now."", 'turn 4: Choose the live event recordings I captured. -> Here are your live event recordings:\n• content://temp/live_event1.mp4\n• content://temp/live_event2.mp4']"	Create a new text document named LiveEventsList.txt listing them.	Create a new text document named LiveEventsList.txt listing content://temp/live_event1.mp4 and content://temp/live_event2.mp4.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'LiveEventsList.txt'}}	ACTION_EDIT_VIDEO-1717-get_contact_info_from_uri-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1	['send_email', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_EDIT_VIDEO', 'ACTION_CREATE_DOCUMENT']
['turn 1: Search for 500 Terry Francois Boulevard, San Francisco, CA. -> Got it: 500 Terry Francois Blvd, San Francisco, CA 94158, USA.', 'turn 2: Guide me to 500 Terry Francois Blvd, San Francisco, CA 94158, USA. -> Navigation is now heading to 500 Terry Francois Blvd, San Francisco, CA 94158, USA.', 'turn 3: I want to record my surroundings. Open the video recording application, please. -> Video recorder opened—go ahead and capture your surroundings.', 'turn 4: Select all the recent surroundings videos. -> Got them! Your recent surroundings clips are ready:\n- content://storage/videos/surrounding1.mp4\n- content://storage/videos/surrounding2.mp4\n- content://storage/videos/surrounding3.mp4']	Create a new PDF document named SurroundingsVideos.pdf to save them.	Create a new PDF document named SurroundingsVideos.pdf to save content://storage/videos/surrounding1.mp4, content://storage/videos/surrounding2.mp4, and content://storage/videos/surrounding3.mp4.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'SurroundingsVideos.pdf'}}	search_location-1138-ACTION_NAVIGATE_TO_LOCATION-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1	['ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_VIDEO', 'ACTION_INSERT_EVENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_INSERT_CONTACT']
"['turn 1: Please fetch all my recent phone call activities. -> Fetched your recent phone call activities:\n• Alice +1-302-3782 (Missed) - Today 2:45 PM\n• Charlie +1-555-0199 (Incoming) - Today 9:30 AM\n• Mom +1-800-123-4567 (Incoming) - Today 6:00 AM\n• John +44-20-7946-0958 (Outgoing) - Today 11:45 AM\n• Restaurant +1-212-555-0199 (Incoming) - Yesterday 8:30 PM', ""turn 2: Choose a person's address from my set of saved contacts. -> Let’s get that postal address—here are your contacts. Tap the one whose address you need."", 'turn 3: Call John +44-20-7946-0958. -> Connecting you to John at +44-20-7946-0958...', ""turn 4: Save +44-20-7946-0958 international number under John’s Office -> Alright! I've added +44-20-7946-0958 as 'John's Office' to your contacts: content://contacts/people/johns_office.""]"	Add email to it: john.office@example.com.	Add email to content://contacts/people/johns_office: john.office@example.com.	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/johns_office', 'contact_info': {'email': 'john.office@example.com'}}}	ACTION_VIEW_CALL_LOG-1917-ACTION_PICK-1_NR-dial-2-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1	['get_contact_info', 'ACTION_EDIT_CONTACT', 'launch_application', 'play_video', 'ACTION_NAVIGATE_TO_LOCATION']
"[""turn 1: Show me 'Latin Beats'. -> Here's your 'Latin Beats' playlist: Despacito; Bailando; La Camisa Negra."", 'turn 2: Show me the work mobile number at contact://work/mobile/112233. -> Work mobile loaded: +1-202-555-1122.', 'turn 3: Please call +1-202-555-1122 number -> Ringing +1-202-555-1122...', ""turn 4: Add +1-202-555-1122 to my address book -> Your new contact for +1-202-555-1122 is all set. Here's the URI: content://contacts/people/12025551122""]"	Add company 'TechCorp' to it	Add company 'TechCorp' to content://contacts/people/12025551122	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/12025551122', 'contact_info': {'company': 'TechCorp'}}}	ACTION_VIEW_PLAYLIST-2135-get_contact_info_from_uri-1_NR-dial-1-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1	['ACTION_VIEW_CALL_LOG', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_SET_TIMER', 'search_location', 'ACTION_EDIT_CONTACT']
['turn 1: List the names and numbers of my recent calls. -> Recent calls (names & numbers):\n• Alice: +1-302-3782\n• Charlie: +1-555-0199\n• Mom: +1-800-123-4567\n• Bob: +1-872-1285\n• Delivery: +1-987-654-3210', 'turn 2: Extract the contact number from the URI contact://numbers/3210. -> Sure thing! Retrieved number: +1-987-654-3210.', 'turn 3: Give +1-987-654-3210 a call. -> Calling +1-987-654-3210...', 'turn 4: Create a new contact for +1-987-654-3210 -> New contact added for +1-987-654-3210. You can view it at content://contacts/people/19876543210']	Add address '456 Oak Avenue, Springfield' to it	Add address '456 Oak Avenue, Springfield' to content://contacts/people/19876543210	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/19876543210', 'contact_info': {'address': '456 Oak Avenue, Springfield'}}}	ACTION_VIEW_CALL_LOG-1913-get_contact_info_from_uri-1_NR-dial-1-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1	['get_contact_info', 'ACTION_SET_RINGTONE', 'ACTION_EDIT_CONTACT', 'launch_application', 'get_contact_info_from_uri']
"[""turn 1: Forward the holiday greeting 'Merry Christmas and a Happy New Year!' to +81-90-1234-5678. -> Merry Christmas greeting sent to +81-90-1234-5678."", 'turn 2: Make a call to +81-90-1234-5678 -> Calling +81-90-1234-5678...', ""turn 3: Could you bring up my call log? -> Sure thing—here's your call history: +81-90-1234-5678 (Outgoing) – Today 8:05 PM; Work Admin +1-310-555-9000 (Missed) – Today 4:20 PM; Alice +1-415-555-0199 (Incoming) – Yesterday 2:15 PM"", ""turn 4: Save +81-90-1234-5678 as a new contact International Sales -> Success! 'International Sales' (+81-90-1234-5678) has been saved to your contacts. Entry URI: content://contacts/people/international_sales""]"	Change the name on that to Int'l Sales Team.	Change the name on content://contacts/people/international_sales to Int'l Sales Team.	"{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/international_sales', 'contact_info': {'name': ""Int'l Sales Team""}}}"	send_message-1244-dial-1-ACTION_VIEW_CALL_LOG-1-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1	['ACTION_EDIT_CONTACT', 'INTENT_ACTION_VIDEO_CAMERA', 'send_email', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_SET_ALARM']
"[""turn 1: Open up 'Big Band Swing'. -> Opening 'Big Band Swing': In the Mood; Sing, Sing, Sing; Take the A Train."", 'turn 2: I want to retrieve a full contact record from my directory. -> Alright, opening your contacts—please tap on the person whose full record you’d like to retrieve.', 'turn 3: Dial 410-555-1234 -> Now dialing 410-555-1234...', 'turn 4: Create a new contact named Bob Johnson with 410-555-1234 -> Bob Johnson has been added to your contacts. You can view it here: content://contacts/people/bob_johnson.']"	Add email on it. 'bob.johnson@example.com'	Add email on content://contacts/people/bob_johnson. 'bob.johnson@example.com'	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/bob_johnson', 'contact_info': {'email': 'bob.johnson@example.com'}}}	ACTION_VIEW_PLAYLIST-2137-ACTION_PICK-1_NR-dial-1-ACTION_INSERT_CONTACT-1-ACTION_EDIT_CONTACT-1	['search_location', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_RECENT_APPS', 'ACTION_IMAGE_CAPTURE', 'ACTION_OPEN_CONTENT']
"['turn 1: I want to inspect my current alarms. -> Current alarms set: [alarm_id: 1 - 6:45 AM, Weekday Wake-up; alarm_id: 2 - 7:30 AM, Gym; alarm_id: 3 - 8:00 AM, Standup Meeting; alarm_id: 4 - 5:00 PM, Yoga]', 'turn 2: Enable the camera to operate in still image mode for a photo. -> Still image camera activated. Ready to snap!', ""turn 3: Pick the most recent image from my gallery -> Here's the latest photo you picked: content://temp/recent_image.jpg"", ""turn 4: Save content://temp/recent_image.jpg to a new PDF document named SavedImage.pdf -> Great news! Your new PDF 'SavedImage.pdf' is ready at content://documents/SavedImage.pdf.""]"	Edit that PDF to add a watermark reading 'Confidential'.	Edit content://documents/SavedImage.pdf to add a watermark reading 'Confidential'.	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/SavedImage.pdf', 'content': ""Add a watermark reading 'Confidential'""}}"	ACTION_SHOW_ALARMS-694-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_NAVIGATE_TO_LOCATION', 'ACTION_INSERT_CONTACT', 'send_message', 'get_contact_info', 'ACTION_EDIT_DOCUMENT']
"['turn 1: Please list running timers. -> Active timers: 1 hour - Laundry, 10 minutes - Meditation.', ""turn 2: Set up the phone's photo mode to take a picture. -> Photo mode camera has been opened."", 'turn 3: Open my gallery and select the picture I just snapped. -> Browsing your gallery for the photo you just took... Got it: content://temp/photo123.jpg', 'turn 4: Save content://temp/photo123.jpg as a JPEG named Snapshot.jpg -> Snapshot.jpg created and saved at content://pictures/Snapshot.jpg.']"	Edit it to crop the image to a 16:9 aspect ratio.	Edit content://pictures/Snapshot.jpg to crop the image to a 16:9 aspect ratio.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://pictures/Snapshot.jpg', 'content': 'crop the image to a 16:9 aspect ratio'}}	ACTION_SHOW_TIMERS-1881-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_GET_RINGTONE', 'ACTION_SHOW_TIMERS', 'ACTION_PICK', 'ACTION_EDIT_DOCUMENT', 'ACTION_EDIT_CONTACT']
"['turn 1: Pull up the personal email tied to content://com.android.contacts/contacts/789/data/email_personal. -> Got it! The personal email for that contact is jane.smith@example.com.', 'turn 2: Shoot jane.smith@example.com a quick email now. -> Quick email sent to jane.smith@example.com.', ""turn 3: Initiate the phone's picture-taking mode in still image format. -> Photo capture mode is active."", 'turn 4: Select the recent JPEG I just shot -> JPEG chosen: content://temp/new_image_01.jpeg']"	Trim it to the first 15 seconds	Trim content://temp/new_image_01.jpeg to the first 15 seconds	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'content://temp/new_image_01.jpeg', 'edit_options': {'start_time': 0, 'end_time': 15000}}}	get_contact_info_from_uri-1043-send_email-1-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_EDIT_VIDEO-1	['ACTION_VIEW_EVENT', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_EDIT_VIDEO', 'web_search', 'send_message']
