conversation_history	ori_query	ori_rewrited_query	answer	unique_idx	refered_turn	candidates	plan	new_query	rewrited_query	query
['turn 1: Can you open a video file from my device so I can trim it? -> Your video is ready to edit: content://temp/videos/clip_for_trimming.mp4', 'turn 2: Update the name and phone of content://contacts/people/joshua_k. I want it to read Joshua Klein and 321-654-0987. -> Joshua’s contact updated! Name is now Joshua Klein and phone is 321‑654‑0987. (content://contacts/people/joshua_k)']	Save that clip to a new MP4 file named TrimmedClip.mp4	Save the video at content://temp/videos/clip_for_trimming.mp4 to a new MP4 file named TrimmedClip.mp4	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'video/mp4', 'initial_name': 'TrimmedClip.mp4'}}	ACTION_GET_CONTENT-168-ACTION_CREATE_DOCUMENT-1-ACTION_CREATE_DOCUMENT-1	1	['ACTION_PICK', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_VIDEO', 'play_video']	ACTION_CREATE_DOCUMENT	Save that clip as a new MP4 file named TrimmedClip.mp4	Save the video at content://temp/videos/clip_for_trimming.mp4 as a new MP4 file named TrimmedClip.mp4	Save that clip as a knew MP4 file named TrimmedClip.mp4
['turn 1: Let me open a plain text note. -> Please pick a plain text file to open.', 'turn 2: Pick any type of file. -> Sure, please select a file of any type.']	Create a new one named MyNote.txt	Create a new document named MyNote.txt	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'MyNote.txt'}}	ACTION_OPEN_DOCUMENT-133-ACTION_CREATE_DOCUMENT-1-ACTION_CREATE_DOCUMENT-1	1	['send_email', 'ACTION_GET_CONTENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_SHOW_ALARMS', 'ACTION_CREATE_DOCUMENT']	ACTION_CREATE_DOCUMENT	Create a new file named MyNote.txt	Create a new document named MyNote.txt	Crate a new file named MyNote.txt
['turn 1: Grab multiple image files, including any photo formats. -> Select multiple images, including any photo formats.', 'turn 2: Fire up the still photo camera. -> Still-photo camera is now active and ready to shoot.']	Create a new one named Photo.jpg	Create a new document named Photo.jpg	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'image/jpeg', 'initial_name': 'Photo.jpg'}}	ACTION_OPEN_DOCUMENT-119-ACTION_CREATE_DOCUMENT-1-ACTION_CREATE_DOCUMENT-1	1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_CREATE_DOCUMENT', 'send_message', 'ACTION_SET_ALARM', 'ACTION_VIEW_WEB_HISTORY']	ACTION_CREATE_DOCUMENT	Could you create a new image file named Photo.jpg?	Could you create a new image file named Photo.jpg?	Could you crate a new image file named Photo.jpg?
"[""turn 1: I want to choose a single PDF report. -> Here's the report you selected: content://docs/annual_report.pdf"", 'turn 2: Please let me choose a phone number from a contact. -> Sure—showing your contacts’ phone numbers now.']"	Create a new PDF document named annual_report_annotated.pdf to annotate that report	Create a new PDF document named annual_report_annotated.pdf to annotate the report content://docs/annual_report.pdf	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'annual_report_annotated.pdf'}}	ACTION_GET_CONTENT-174-ACTION_CREATE_DOCUMENT-1-ACTION_CREATE_DOCUMENT-1	1	['ACTION_CREATE_DOCUMENT', 'play_music', 'ACTION_VIEW_SENT_MESSAGES', 'search_location', 'ACTION_SET_ALARM']	ACTION_CREATE_DOCUMENT	Could you create a new PDF named annual_report_annotated.pdf so I can annotate the report?	Could you create a new PDF named annual_report_annotated.pdf so I can annotate content://docs/annual_report.pdf?	Could you create a new PDF named annual_report_annotated.pdf so I can anotate the report?
['turn 1: Could I choose a few AVI videos to compile into a highlight reel? -> Go ahead and select multiple AVI videos for your highlight reel.', 'turn 2: Please start up the still image shooter. -> Still image camera launched successfully.']	Create a new PDF document to outline those AVI videos, named HighlightReelPlan.pdf	Create a new PDF document to outline the selected AVI videos, named HighlightReelPlan.pdf	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'HighlightReelPlan.pdf'}}	ACTION_GET_CONTENT-187-ACTION_CREATE_DOCUMENT-1-ACTION_CREATE_DOCUMENT-1	1	['send_message', 'ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'ACTION_SET_RINGTONE', 'ACTION_OPEN_DOCUMENT']	ACTION_CREATE_DOCUMENT	"Please create a PDF named ""HighlightReelPlan.pdf"" that outlines the selected AVI videos."	"Please create a PDF named ""HighlightReelPlan.pdf"" outlining the selected AVI videos."	"Please crate a PDF named ""HighlightReelPlan.pdf"" that outlines the selected AVI videos."
['turn 1: Please create a PDF invoice named Invoice_March2024.pdf. -> Invoice_March2024.pdf has been created successfully at content://documents/Invoice_March2024.pdf.', 'turn 2: Launch the ringtone selector now. -> Ringtone chosen: content://media/ringtone/morning_glory.mp3']	Edit that PDF invoice to add our company logo at the top.	Edit content://documents/Invoice_March2024.pdf to add our company logo at the top.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/Invoice_March2024.pdf', 'content': 'Add our company logo at the top.'}}	ACTION_CREATE_DOCUMENT-15-ACTION_EDIT_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	1	['search_location', 'send_message', 'ACTION_VIEW_CALL_LOG', 'ACTION_PICK', 'ACTION_EDIT_DOCUMENT']	ACTION_EDIT_DOCUMENT	Could you edit that PDF invoice and add our company logo at the top?	Could you edit content://documents/Invoice_March2024.pdf and add hour company logo at the top?	Could you edit that PDF invoice and add hour company logo at the top?
"[""turn 1: Please create a BMP image named canvas.bmp. -> Your BMP image 'canvas.bmp' has been saved. Access it via content://documents/canvas.bmp"", 'turn 2: Please pick multiple ZIP archives from local storage. -> Sure thing! Here are the ZIP archives you selected:\n- content://downloads/backups/backup_jan.zip\n- content://downloads/backups/backup_feb.zip']"	Add a grid overlay to that BMP image.	Add a grid overlay to content://documents/canvas.bmp.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/canvas.bmp', 'content': 'Add a grid overlay.'}}	ACTION_CREATE_DOCUMENT-34-ACTION_OPEN_CONTENT-1-ACTION_EDIT_DOCUMENT-1	1	['ACTION_SET_TIMER', 'search_location', 'ACTION_EDIT_DOCUMENT', 'launch_application', 'ACTION_CREATE_DOCUMENT']	ACTION_EDIT_DOCUMENT	Could you please add a grid overlay to the BMP image at content://documents/canvas.bmp?	Could you please add a grid overlay to the BMP image at content://documents/canvas.bmp?	Could you please add a gird overlay to the BMP image at content://documents/canvas.bmp?
"[""turn 1: Please set up an MP4 video file called intro_video.mp4. -> Intro video 'intro_video.mp4' created successfully. Find it at content://videos/intro_video.mp4"", 'turn 2: Open the contact content://contacts/people/1046 so I can copy the email. -> Opening contact for email copy: content://contacts/people/1046.']"	Edit that video to add a 3-second fade-in effect.	Edit content://videos/intro_video.mp4 to add a 3-second fade-in effect.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://videos/intro_video.mp4', 'content': 'Add a 3-second fade-in effect'}}	ACTION_CREATE_DOCUMENT-37-ACTION_OPEN_CONTENT-1-ACTION_EDIT_DOCUMENT-1	1	['ACTION_INSERT_EVENT', 'launch_application', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_EDIT_DOCUMENT', 'open_settings']	ACTION_EDIT_DOCUMENT	Please add a 3-second fade-in effect to the intro_video.mp4 file.	Please add a 3-second fade-in effect to the intro_video.mp4 file at content://videos/intro_video.mp4.	Please add a 3-second fade-in efect to the intro_video.mp4 file.
"[""turn 1: Kindly create an Excel spreadsheet titled Budget.xlsx. -> Your new spreadsheet 'Budget.xlsx' has been created. You can access it here: content://documents/Budget.xlsx"", ""turn 2: At 15:15, schedule an alarm with label 'Test Alert' and do not show the clock UI. -> Alarm configured (ID: alarm_no5) at 3:15\xa0PM: Test Alert (UI confirmation skipped).""]"	Edit that spreadsheet to add a new worksheet named Summary with Q2 budget data.	Edit content://documents/Budget.xlsx to add a new worksheet named Summary with Q2 budget data.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/Budget.xlsx', 'content': 'Add a new worksheet named Summary with Q2 budget data.'}}	ACTION_CREATE_DOCUMENT-31-ACTION_OPEN_CONTENT-1-ACTION_EDIT_DOCUMENT-1	1	['ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_CALL_LOG', 'ACTION_EDIT_DOCUMENT', 'ACTION_EDIT_VIDEO', 'launch_application']	ACTION_EDIT_DOCUMENT	Could you edit the Budget.xlsx spreadsheet and add a new worksheet called “Summary” with the Q2 budget data?	Edit content://documents/Budget.xlsx adding a new worksheet named “Summary” containing Q2 budget data	Could you edit the Budget.xlsx spreadsheet and add a new worksheat called “Summary” with the Q2 budget data?
['turn 1: Generate an SVG icon file named icon.svg. -> SVG icon generated successfully. You can edit it here: content://documents/icon.svg', 'turn 2: Mute audio on content://conference/talk.mp4 and cut from 30s to 90s. -> Muting and trimming talk.mp4 from 30\xa0s to 90\xa0s as requested. Editor is ready.']	Modify that icon to change its color to blue.	Modify content://documents/icon.svg to change its color to blue.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/icon.svg', 'content': 'Change its color to blue'}}	ACTION_CREATE_DOCUMENT-44-ACTION_EDIT_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	1	['ACTION_SET_TIMER', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_PLAYLIST', 'ACTION_PICK']	ACTION_EDIT_DOCUMENT	Could you modify the icon so its color is blue?	Could you modify content://documents/icon.svg so its color is blue?	Could you modify the icon so its colro is blue?
