conversation_history	query	rewrited_query	candidates	generation	gt	plan	arguments	all	file
['turn 1: Which alarms are currently set? -> At the moment, you have the following alarms active:\n\[alarm_id: 1 - 7:15 AM, Breakfast Reminder; alarm_id: 2 - 2:00 PM, Call with Mom; alarm_id: 3 - 8:00 PM, Read Book]']	"Could you move the ""Call with Mom"" alarm 30 minutes later and rename it to ""Call Dad""?"	Move alarm_id 2 from 2:00 PM (Call with Mom) to 2:30 PM and rename it to Call Dad	['ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_EDIT_ALARM', 'ACTION_EDIT_DOCUMENT', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 14, 'EXTRA_MINUTES': 30, 'EXTRA_MESSAGE': 'Call Dad'}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 14, 'EXTRA_MINUTES': 30, 'EXTRA_MESSAGE': 'Call Dad'}}	pass	pass	pass	turn2.tsv
['turn 1: Can you give me a rundown of my alarms? -> Here’s an overview of your active alarms:\n\[alarm_id 1 - 6:50 AM, Stretch; alarm_id 2 - 7:20 AM, Emails; alarm_id 3 - 8:00 AM, Presentation Prep; alarm_id 4 - 9:30 AM, Grocery Reminder; alarm_id 5 - 10:00 PM, Wind Down]']	Could you move the 6:50 AM alarm to 7:00 AM?	Move alarm_id 1 from 6:50 AM (Stretch) to 7:00 AM.	['ACTION_SET_RINGTONE', 'ACTION_SHOW_TIMERS', 'send_email', 'ACTION_EDIT_ALARM', 'dial']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 1, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 1, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0}}	pass	pass	pass	turn2.tsv
['turn 1: Show me all active alarms. -> Here are your active alarms: \[alarm_id 1 - 6:50 AM, Stretch; alarm_id 2 - 9:00 AM, Stand-Up Meeting]']	Could you move the Stand-Up Meeting alarm to 9:15 AM and set it to weekdays only?	Move alarm_id 2 from 9:00 AM (Stand-Up Meeting) to 9:15 AM and set it to repeat only on weekdays.	['ACTION_VIDEO_CAPTURE', 'dial', 'ACTION_EDIT_ALARM', 'ACTION_VIEW_PLAYLIST', 'get_contact_info_from_uri']	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 9, 'EXTRA_MINUTES': 15, 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']}}	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 9, 'EXTRA_MINUTES': 15, 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']}}	pass	pass	pass	turn2.tsv
['turn 1: Could you show me the phone number and email for content://contacts/people/1035? -> Here are the phone number and email for content://contacts/people/1035.']	Could you change its company to Initech?	Update the company for content://contacts/people/1035 to Initech.	['ACTION_OPEN_CONTENT', 'ACTION_EDIT_CONTACT', 'send_email', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'company': 'Initech'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'company': 'Initech'}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you retrieve the email address for content://contacts/people/23? -> Sure thing—here’s the email: [jane.doe23@example.com].']	Could you add the phone number 555-123-4567 to that contact?	Add phone number 555-123-4567 to content://contacts/people/23.	['ACTION_EDIT_ALARM', 'get_contact_info_from_uri', 'ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'send_message']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/23', 'contact_info': {'phone': '555-123-4567'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/23', 'contact_info': {'phone': '555-123-4567'}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you provide the mailing address for content://com.company.contacts/contact/789? -> Certainly—on file, it’s 456 Corporate Blvd, Suite 100, Business City, CA 90001.']	Could you update that contact’s address to 123 New Ave, Floor 5, Businesstown, NY 10002?	Update the address for content://com.company.contacts/contact/789 to 123 New Ave, Floor 5, Businesstown, NY 10002.	['ACTION_VIEW_CALL_LOG', 'web_search', 'ACTION_EDIT_CONTACT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_PLAYLIST']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://com.company.contacts/contact/789', 'contact_info': {'address': '123 New Ave, Floor 5, Businesstown, NY 10002'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://com.company.contacts/contact/789', 'contact_info': {'address': '123 New Ave, Floor 5, Businesstown, NY 10002'}}}	pass	pass	pass	turn2.tsv
['turn 1: Please play the video file:///C:/Users/Public/Videos/SampleVideo.wmv in Windows Media Player. -> Windows Media Player is now playing file:///C:/Users/Public/Videos/SampleVideo.wmv.']	Could you trim that video so it starts at 15 seconds and ends at 2 minutes?	Trim file:///C:/Users/Public/Videos/SampleVideo.wmv so it starts at 15 seconds and ends at 2 minutes.	['ACTION_EDIT_VIDEO', 'ACTION_INSERT_EVENT', 'send_message', 'search_location', 'ACTION_VIEW_WEB_HISTORY']	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'file:///C:/Users/Public/Videos/SampleVideo.wmv', 'edit_options': {'start_time': 15000, 'end_time': 120000}}}	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'file:///C:/Users/Public/Videos/SampleVideo.wmv', 'edit_options': {'start_time': 15000, 'end_time': 120000}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you play test.avi from the root directory? -> Now playing test.avi.']	Could you trim it to the first 5 seconds?	Trim test.avi to the first 5 seconds.	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'send_message', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_VIDEO', 'get_contact_info']	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'test.avi', 'edit_options': {'start_time': 0, 'end_time': 5000}}}	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'test.avi', 'edit_options': {'start_time': 0, 'end_time': 5000}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you play the recording at blob://videos/recording123? -> Now playing recording123 from blob://videos/recording123.']	Could you trim it from 50000 ms to 60000 ms?	Trim blob://videos/recording123 from 50000 ms to 60000 ms.	['ACTION_VIEW_SENT_MESSAGES', 'ACTION_SET_RINGTONE', 'ACTION_EDIT_VIDEO', 'web_search', 'ACTION_SET_TIMER']	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'blob://videos/recording123', 'edit_options': {'start_time': 50000, 'end_time': 60000}}}	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'blob://videos/recording123', 'edit_options': {'start_time': 50000, 'end_time': 60000}}}	pass	pass	pass	turn2.tsv
['turn 1: Could you show me all incoming and outgoing calls from today? -> Here’s your call history: Grace at +1-212-555-0198 (Missed) at 3:10 PM today; Henry at +1-646-555-0123 (Incoming) at 4:50 PM yesterday; Isabella at +1-323-555-0167 (Outgoing) at 10:25 AM today.']	Could you add that number to your contacts under the name Grace?	Add +1-212-555-0198 to contacts under the name Grace.	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_EDIT_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_VIDEO', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Grace', 'phone': '+1-212-555-0198'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Grace', 'phone': '+1-212-555-0198'}}}	pass	pass	pass	turn2.tsv
