section	model	plan	turn	bucket	accuracy	support
turn_all	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	2	all	0.8823529411764706	17
turn_all	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	3	all	1.0	12
turn_all	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	4	all	0.9642857142857143	28
turn_all	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	5	all	0.9629629629629629	27
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	2	all	0.76	25
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	3	all	0.5952380952380952	42
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	4	all	0.5714285714285714	21
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	5	all	0.4166666666666667	24
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_CONTACT	2	all	0.875	8
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_CONTACT	3	all	0.6111111111111112	18
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_CONTACT	4	all	0.45454545454545453	33
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_CONTACT	5	all	0.33962264150943394	53
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_DOCUMENT	2	all	0.35714285714285715	14
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_DOCUMENT	3	all	0.09375	32
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_DOCUMENT	4	all	0.037037037037037035	27
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_DOCUMENT	5	all	0.023809523809523808	42
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_VIDEO	2	all	0.9090909090909091	22
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_VIDEO	3	all	0.45	20
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_VIDEO	4	all	0.38095238095238093	42
turn_all	scale-llama3-4b-base.tsv	ACTION_EDIT_VIDEO	5	all	0.25	20
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_CONTENT	2	all	0.75	8
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_CONTENT	3	all	0.7777777777777778	18
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_CONTENT	4	all	0.9285714285714286	28
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_RINGTONE	2	all	1.0	12
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_RINGTONE	3	all	1.0	12
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_RINGTONE	4	all	1.0	24
turn_all	scale-llama3-4b-base.tsv	ACTION_GET_RINGTONE	5	all	0.9259259259259259	27
turn_all	scale-llama3-4b-base.tsv	ACTION_IMAGE_CAPTURE	2	all	1.0	6
turn_all	scale-llama3-4b-base.tsv	ACTION_IMAGE_CAPTURE	3	all	1.0	14
turn_all	scale-llama3-4b-base.tsv	ACTION_IMAGE_CAPTURE	4	all	1.0	24
turn_all	scale-llama3-4b-base.tsv	ACTION_IMAGE_CAPTURE	5	all	0.8666666666666667	30
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_CONTACT	2	all	0.7	10
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_CONTACT	3	all	0.6666666666666666	30
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_CONTACT	4	all	0.4791666666666667	48
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_CONTACT	5	all	0.45652173913043476	46
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_EVENT	2	all	0.0	9
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_EVENT	3	all	0.0	14
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_EVENT	4	all	0.0	25
turn_all	scale-llama3-4b-base.tsv	ACTION_INSERT_EVENT	5	all	0.0	34
turn_all	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	2	all	0.9	10
turn_all	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	3	all	0.68	25
turn_all	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	4	all	0.47368421052631576	38
turn_all	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	5	all	0.43103448275862066	58
turn_all	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	2	all	0.3333333333333333	9
turn_all	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	3	all	0.5	24
turn_all	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	4	all	0.3	40
turn_all	scale-llama3-4b-base.tsv	ACTION_OPEN_CONTENT	5	all	0.17857142857142858	56
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_ALARM	2	all	0.6	5
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_ALARM	3	all	0.6	10
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_ALARM	4	all	0.5238095238095238	21
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_ALARM	5	all	0.4583333333333333	24
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_RINGTONE	2	all	1.0	7
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_RINGTONE	3	all	0.8823529411764706	17
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_RINGTONE	4	all	0.7777777777777778	18
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_RINGTONE	5	all	0.35	20
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	2	all	0.5555555555555556	9
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	3	all	0.2857142857142857	14
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	4	all	0.2608695652173913	23
turn_all	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	5	all	0.3870967741935484	31
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_ALARMS	2	all	1.0	5
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_ALARMS	3	all	1.0	16
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_ALARMS	4	all	1.0	19
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_TIMERS	2	all	1.0	9
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_TIMERS	3	all	1.0	19
turn_all	scale-llama3-4b-base.tsv	ACTION_SHOW_TIMERS	4	all	1.0	32
turn_all	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	2	all	0.9090909090909091	11
turn_all	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	3	all	0.9166666666666666	12
turn_all	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	4	all	0.9333333333333333	15
turn_all	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	5	all	0.9259259259259259	27
turn_all	scale-llama3-4b-base.tsv	ACTION_VIEW_CALL_LOG	2	all	1.0	11
turn_all	scale-llama3-4b-base.tsv	ACTION_VIEW_CALL_LOG	4	all	1.0	10
turn_all	scale-llama3-4b-base.tsv	ACTION_VIEW_CALL_LOG	5	all	1.0	17
turn_all	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	2	all	0.8275862068965517	29
turn_all	scale-llama3-4b-base.tsv	ACTION_VIEW_CONTACT	3	all	0.25	28
