conversation_history	query	rewrited_query	answer	unique_idx	candidates	plan
['turn 1: Which alarms are currently set? -> At the moment, you have the following alarms active:\n\[alarm_id: 1 - 7:15 AM, Breakfast Reminder; alarm_id: 2 - 2:00 PM, Call with Mom; alarm_id: 3 - 8:00 PM, Read Book]']	"Could you move the ""Call with Mom"" alarm 30 minutes later and rename it to ""Call Dad""?"	Could you move 'alarm_id: 2 - 2:00 PM, Call with Mom' 30 minutes later and rename it to 'Call Dad'?	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 14, 'EXTRA_MINUTES': 30, 'EXTRA_MESSAGE': 'Call Dad'}}	ACTION_SHOW_ALARMS-689-ACTION_EDIT_ALARM-1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_EDIT_ALARM', 'ACTION_EDIT_DOCUMENT', 'ACTION_CREATE_DOCUMENT']	ACTION_EDIT_ALARM
['turn 1: Can you give me a rundown of my alarms? -> Here’s an overview of your active alarms:\n\[alarm_id 1 - 6:50 AM, Stretch; alarm_id 2 - 7:20 AM, Emails; alarm_id 3 - 8:00 AM, Presentation Prep; alarm_id 4 - 9:30 AM, Grocery Reminder; alarm_id 5 - 10:00 PM, Wind Down]']	Could you move the 6:50 AM alarm to 7:00 AM?	Could you move 'alarm_id 1 - 6:50 AM, Stretch' to 7:00 AM?	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 1, 'EXTRA_HOUR': 7, 'EXTRA_MINUTES': 0}}	ACTION_SHOW_ALARMS-697-ACTION_EDIT_ALARM-1	['ACTION_SET_RINGTONE', 'ACTION_SHOW_TIMERS', 'send_email', 'ACTION_EDIT_ALARM', 'dial']	ACTION_EDIT_ALARM
['turn 1: Show me all active alarms. -> Here are your active alarms: \[alarm_id 1 - 6:50 AM, Stretch; alarm_id 2 - 9:00 AM, Stand-Up Meeting]']	Could you move the Stand-Up Meeting alarm to 9:15 AM and set it to weekdays only?	Could you move 'alarm_id 2 - 9:00 AM, Stand-Up Meeting' to 9:15 AM and set it to weekdays only?	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 9, 'EXTRA_MINUTES': 15, 'EXTRA_DAYS': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']}}	ACTION_SHOW_ALARMS-683-ACTION_EDIT_ALARM-1	['ACTION_VIDEO_CAPTURE', 'dial', 'ACTION_EDIT_ALARM', 'ACTION_VIEW_PLAYLIST', 'get_contact_info_from_uri']	ACTION_EDIT_ALARM
['turn 1: Could you show me the phone number and email for content://contacts/people/1035? -> Here are the phone number and email for content://contacts/people/1035.']	Could you change its company to Initech?	Could you change the company of content://contacts/people/1035 to Initech?	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1035', 'contact_info': {'company': 'Initech'}}}	ACTION_VIEW_CONTACT-786-ACTION_EDIT_CONTACT-1	['ACTION_OPEN_CONTENT', 'ACTION_EDIT_CONTACT', 'send_email', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_SHOW_ALARMS']	ACTION_EDIT_CONTACT
['turn 1: Could you retrieve the email address for content://contacts/people/23? -> Sure thing—here’s the email: [jane.doe23@example.com].']	Could you add the phone number 555-123-4567 to that contact?	Could you add the phone number 555-123-4567 to content://contacts/people/23?	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/23', 'contact_info': {'phone': '555-123-4567'}}}	get_contact_info-968-ACTION_EDIT_CONTACT-1	['ACTION_EDIT_ALARM', 'get_contact_info_from_uri', 'ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'send_message']	ACTION_EDIT_CONTACT
['turn 1: Could you provide the mailing address for content://com.company.contacts/contact/789? -> Certainly—on file, it’s 456 Corporate Blvd, Suite 100, Business City, CA 90001.']	Could you update that contact’s address to 123 New Ave, Floor 5, Businesstown, NY 10002?	Could you update content://com.company.contacts/contact/789’s address to 123 New Ave, Floor 5, Businesstown, NY 10002?	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://com.company.contacts/contact/789', 'contact_info': {'address': '123 New Ave, Floor 5, Businesstown, NY 10002'}}}	get_contact_info-969-ACTION_EDIT_CONTACT-1	['ACTION_VIEW_CALL_LOG', 'web_search', 'ACTION_EDIT_CONTACT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_PLAYLIST']	ACTION_EDIT_CONTACT
['turn 1: Please play the video file:///C:/Users/Public/Videos/SampleVideo.wmv in Windows Media Player. -> Windows Media Player is now playing file:///C:/Users/Public/Videos/SampleVideo.wmv.']	Could you trim that video so it starts at 15 seconds and ends at 2 minutes?	Could you trim file:///C:/Users/Public/Videos/SampleVideo.wmv so it starts at 15 seconds and ends at 2 minutes?	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'file:///C:/Users/Public/Videos/SampleVideo.wmv', 'edit_options': {'start_time': 15000, 'end_time': 120000}}}	play_video-1421-ACTION_EDIT_VIDEO-1	['ACTION_EDIT_VIDEO', 'ACTION_INSERT_EVENT', 'send_message', 'search_location', 'ACTION_VIEW_WEB_HISTORY']	ACTION_EDIT_VIDEO
['turn 1: Could you play test.avi from the root directory? -> Now playing test.avi.']	Could you trim it to the first 5 seconds?	Could you trim test.avi to the first 5 seconds?	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'test.avi', 'edit_options': {'start_time': 0, 'end_time': 5000}}}	play_video-1453-ACTION_EDIT_VIDEO-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'send_message', 'ACTION_CREATE_DOCUMENT', 'ACTION_EDIT_VIDEO', 'get_contact_info']	ACTION_EDIT_VIDEO
['turn 1: Could you play the recording at blob://videos/recording123? -> Now playing recording123 from blob://videos/recording123.']	Could you trim it from 50000 ms to 60000 ms?	Could you trim blob://videos/recording123 from 50000 ms to 60000 ms?	{'plan': 'ACTION_EDIT_VIDEO', 'arguments': {'video_uri': 'blob://videos/recording123', 'edit_options': {'start_time': 50000, 'end_time': 60000}}}	play_video-1431-ACTION_EDIT_VIDEO-1	['ACTION_VIEW_SENT_MESSAGES', 'ACTION_SET_RINGTONE', 'ACTION_EDIT_VIDEO', 'web_search', 'ACTION_SET_TIMER']	ACTION_EDIT_VIDEO
['turn 1: Could you show me all incoming and outgoing calls from today? -> Here’s your call history: Grace at +1-212-555-0198 (Missed) at 3:10 PM today; Henry at +1-646-555-0123 (Incoming) at 4:50 PM yesterday; Isabella at +1-323-555-0167 (Outgoing) at 10:25 AM today.']	Could you add that number to your contacts under the name Grace?	Could you add +1-212-555-0198 to your contacts under the name Grace?	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Grace', 'phone': '+1-212-555-0198'}}}	ACTION_VIEW_CALL_LOG-1893-ACTION_INSERT_CONTACT-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_EDIT_ALARM', 'ACTION_OPEN_CONTENT', 'ACTION_EDIT_VIDEO', 'ACTION_INSERT_CONTACT']	ACTION_INSERT_CONTACT
['turn 1: Could you show me the device’s missed and dialed calls? -> Here’s your call log: Jack at +1-718-555-0145 (Outgoing) – Today at 1:00 PM; Karen at +49-30-1234-5678 (Incoming) – Yesterday at 9:45 AM; Leo at +1-305-555-0199 (Missed) – Today at 7:20 AM.']	"Could you save that number as ""Jack"" in my contacts?"	"Could you save +1-718-555-0145 as ""Jack"" in my contacts?"	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Jack', 'phone': '+1-718-555-0145'}}}	ACTION_VIEW_CALL_LOG-1894-ACTION_INSERT_CONTACT-1	['ACTION_INSERT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_EVENT', 'search_location']	ACTION_INSERT_CONTACT
['turn 1: Could you list my recent incoming and outgoing calls? -> Here are your recent call entries: Mia at +1-213-555-0156 (Missed) at 5:35 PM today; Noah at +1-415-555-0001 (Outgoing) at 2:10 PM yesterday; Olivia at +44-20-7946-0999 (Incoming) at 8:00 AM today.']	Could you add second history as a new contact under the name Mia?	Could you add second history at +1-213-555-0156 as a new contact under the name Mia?	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Mia', 'phone': '+44-20-7946-0999'}}}	ACTION_VIEW_CALL_LOG-1895-ACTION_INSERT_CONTACT-1	['ACTION_SHOW_ALARMS', 'ACTION_CREATE_DOCUMENT', 'get_contact_info', 'ACTION_OPEN_DOCUMENT', 'ACTION_INSERT_CONTACT']	ACTION_INSERT_CONTACT
