conversation_history	query	rewrited_query	answer	unique_idx	candidates
"[""turn 1: Please set up an MP4 video file called intro_video.mp4. -> Intro video 'intro_video.mp4' created successfully. Find it at content://videos/intro_video.mp4"", 'turn 2: I need to open the camera in photo mode. Please launch the still image camera. -> Ready to take pictures—still image camera is now open.', 'turn 3: Select the photo I just took. -> Here’s the shot you just took: content://temp/latest_shot.jpg', ""turn 4: Create a new PDF document named LatestShot.pdf and put content://temp/latest_shot.jpg there. -> Your PDF 'LatestShot.pdf' is now ready at content://documents/LatestShot.pdf.""]"	Edit that video to add a lower-third title at the beginning	Edit content://videos/intro_video.mp4 to add a lower-third title at the beginning	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://videos/intro_video.mp4', 'content': 'Add a lower-third title at the beginning'}}	SWAP_T5_R1_S2_I001582-ACTION_EDIT_DOCUMENT-1	['ACTION_VIEW_RECENT_APPS', 'web_search', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA']
"[""turn 1: Create an MP3 audio named podcast_episode.mp3. -> Podcast 'podcast_episode.mp3' is now available here: content://documents/podcast_episode.mp3"", 'turn 2: Boot up the digital camera app for taking a static image. -> Still image camera is up. Ready to shoot.', 'turn 3: Show me the photo I just captured -> Photo you captured moments ago: content://temp/photo131.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo131.jpg named PhotoCopy131.jpg -> All set! Your copy 'PhotoCopy131.jpg' has been created at content://documents/PhotoCopy131.jpg.""]"	Edit that audio file to insert a fade-in at the beginning	Edit content://documents/podcast_episode.mp3 audio file to insert a fade-in at the beginning	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/podcast_episode.mp3', 'content': 'Insert a fade-in at the beginning'}}	SWAP_T5_R1_S2_I001583-ACTION_EDIT_DOCUMENT-1	['ACTION_EDIT_DOCUMENT', 'ACTION_SET_RINGTONE', 'ACTION_INSERT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'get_contact_info_from_uri']
"[""turn 1: Start an AVI video file named movie_clip.avi. -> Your AVI clip 'movie_clip.avi' is all set. Access it here: content://videos/movie_clip.avi"", 'turn 2: I require the still photo function active; please start it. -> Your camera is now open for taking still photos.', 'turn 3: Get the photo I just snapped. -> Your photo is here: content://temp/photo133.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo133.jpg named PhotoCopy133.jpg -> Here you go—'PhotoCopy133.jpg' has been created at content://documents/PhotoCopy133.jpg.""]"	Edit that video to trim the last 10 seconds	Edit content://videos/movie_clip.avi to trim the last 10 seconds	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://videos/movie_clip.avi', 'content': 'Trim the last 10 seconds'}}	SWAP_T5_R1_S2_I001584-ACTION_EDIT_DOCUMENT-1	['dial', 'get_contact_info', 'ACTION_EDIT_DOCUMENT', 'play_video', 'ACTION_GET_RINGTONE']
"[""turn 1: Create a ZIP archive with the filename archive.zip. -> Archive 'archive.zip' created successfully. Download it here: content://archives/archive.zip"", ""turn 2: Initiate the phone's picture-taking mode in still image format. -> Still-image camera has been launched successfully."", 'turn 3: Select the picture I just snapped -> Just grabbed your last picture: content://temp/photo130.jpg', ""turn 4: Create a new image/jpeg document for content://temp/photo130.jpg named PhotoCopy130.jpg -> Done! 'PhotoCopy130.jpg' is saved here: content://documents/PhotoCopy130.jpg.""]"	Edit that archive to include a README.txt with setup instructions	Edit content://archives/archive.zip to include a README.txt with setup instructions	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://archives/archive.zip', 'content': 'Include a README.txt with setup instructions'}}	SWAP_T5_R1_S2_I001585-ACTION_EDIT_DOCUMENT-1	['ACTION_EDIT_DOCUMENT', 'send_email', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_INSERT_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION']
"[""turn 1: Could you create an EPUB ebook named ebook.epub? -> Ebook 'ebook.epub' has been generated. You can get it at content://ebooks/ebook.epub"", ""turn 2: Start my smartphone's camera in still image mode to snap a photo. -> Photo mode initiated. Feel free to take a snapshot."", 'turn 3: Pick content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all. -> All set! You selected:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 4: Create a new PDF named HolidayCollage.pdf and import content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all into it. -> All done! 'HolidayCollage.pdf' has been generated at content://documents/HolidayCollage.pdf.""]"	Edit that ebook to insert a preface section at the beginning	Edit content://ebooks/ebook.epub to insert a preface section at the beginning	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://ebooks/ebook.epub', 'content': 'Insert a preface section at the beginning'}}	SWAP_T5_R1_S2_I001586-ACTION_EDIT_DOCUMENT-1	['ACTION_SHOW_TIMERS', 'ACTION_OPEN_CONTENT', 'open_settings', 'ACTION_EDIT_CONTACT', 'ACTION_EDIT_DOCUMENT']
"[""turn 1: Kindly create an Excel spreadsheet titled Budget.xlsx. -> Your new spreadsheet 'Budget.xlsx' has been created. You can access it here: content://documents/Budget.xlsx"", 'turn 2: Turn on the camera app to capture a still image. -> Camera app in still-photo mode is now active.', 'turn 3: Pick the latest shot from the camera. -> Here’s your latest camera capture: content://temp/camera_last.jpg', 'turn 4: Create a new image file named Snapshot.jpg for content://temp/camera_last.jpg -> Snapshot.jpg has been created successfully at content://documents/Snapshot.jpg.']"	Edit that spreadsheet to insert the column totals	Edit content://documents/Budget.xlsx to insert the column totals	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/Budget.xlsx', 'content': 'Insert the column totals'}}	SWAP_T5_R1_S2_I001587-ACTION_EDIT_DOCUMENT-1	['ACTION_CREATE_DOCUMENT', 'open_settings', 'ACTION_EDIT_DOCUMENT', 'dial', 'search_location']
"[""turn 1: Generate a GIF animation file named animation.gif. -> All set! Your GIF 'animation.gif' is ready at content://documents/animation.gif"", ""turn 2: I'd like to capture a moment; please start the still-image camera. -> Your still camera is up; let's capture a great shot."", 'turn 3: Choose the last photo -> Got it – here’s your last photo: content://temp/last_capture.jpg', ""turn 4: Create a new PDF named PhotoCapture.pdf with content://temp/last_capture.jpg image -> Created! Check out 'PhotoCapture.pdf' at content://documents/PhotoCapture.pdf.""]"	Edit that GIF animation to add a watermark in the corner	Edit content://documents/animation.gif GIF animation to add a watermark in the corner	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/animation.gif', 'content': 'Add a watermark in the corner'}}	SWAP_T5_R1_S2_I001588-ACTION_EDIT_DOCUMENT-1	['ACTION_SET_ALARM', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIDEO_CAPTURE', 'send_message', 'dial']
"[""turn 1: Can you create an SVG diagram file called diagram.svg? -> Done creating 'diagram.svg'. You can find it here: content://documents/diagram.svg"", ""turn 2: Could you open my device's still camera app? -> Sure—still camera app launched successfully."", 'turn 3: Open the image I just shot -> Here’s your latest photo: content://temp/recent_image.jpg', ""turn 4: Save content://temp/recent_image.jpg as a JPEG file named RecentImageBackup.jpg. -> Your backup 'RecentImageBackup.jpg' is ready at content://documents/RecentImageBackup.jpg.""]"	Edit that diagram to add a title at the top	Edit content://documents/diagram.svg to add a title at the top	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/diagram.svg', 'content': 'Add a title at the top'}}	SWAP_T5_R1_S2_I001589-ACTION_EDIT_DOCUMENT-1	['ACTION_VIEW_CALL_LOG', 'launch_application', 'ACTION_EDIT_DOCUMENT', 'ACTION_SET_RINGTONE', 'get_contact_info_from_uri']
"[""turn 1: Please create a BMP image named canvas.bmp. -> Your BMP image 'canvas.bmp' has been saved. Access it via content://documents/canvas.bmp"", 'turn 2: Enable the camera to operate in still image mode for a photo. -> Still image camera activated. Ready to snap!', ""turn 3: Pick the most recent image from my gallery -> Here's the latest photo you picked: content://temp/recent_image.jpg"", ""turn 4: Save content://temp/recent_image.jpg to a new PDF document named SavedImage.pdf -> Great news! Your new PDF 'SavedImage.pdf' is ready at content://documents/SavedImage.pdf.""]"	Edit that image to draw a blue rectangle on it	Edit content://documents/canvas.bmp to draw a blue rectangle on it	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/canvas.bmp', 'content': 'Draw a blue rectangle on it'}}	SWAP_T5_R1_S2_I001590-ACTION_EDIT_DOCUMENT-1	['ACTION_SET_TIMER', 'ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_DOCUMENT', 'ACTION_VIEW_EVENT', 'ACTION_EDIT_ALARM']
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", 'turn 2: Kick off the still photo app on my device. -> Still photo mode opened successfully.', ""turn 3: Show me the latest picture from my camera roll -> All set! I've grabbed your most recent image: content://temp/last_photo.jpg"", ""turn 4: Save content://temp/last_photo.jpg as a PDF named MyLatestPhoto.pdf -> Done—I've created 'MyLatestPhoto.pdf' at content://documents/MyLatestPhoto.pdf.""]"	Edit that audio file to trim the first 5 seconds	Edit content://documents/audio_sample.wav to trim the first 5 seconds	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/audio_sample.wav', 'content': 'Trim the first 5 seconds'}}	SWAP_T5_R1_S2_I001591-ACTION_EDIT_DOCUMENT-1	['ACTION_INSERT_EVENT', 'web_search', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_IMAGE_CAPTURE', 'ACTION_EDIT_DOCUMENT']
"['turn 1: Start a blank Word document titled MeetingNotes.docx please. -> Done! Your blank Word doc “MeetingNotes.docx” is ready at content://documents/MeetingNotes.docx.', 'turn 2: Begin the photo capturing tool on my device as a still image camera. -> Still image camera is open—ready for your picture.', 'turn 3: Choose the most recent photo from my gallery. -> On it! Selected the most recent gallery photo: content://temp/photo_latest.jpg', ""turn 4: Create a new text document named PhotoNote.txt -> Your text file 'PhotoNote.txt' has been successfully created at content://documents/PhotoNote.txt.""]"	Open it and insert the meeting agenda at the top	Open content://documents/MeetingNotes.docx and insert the meeting agenda at the top	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/MeetingNotes.docx', 'content': 'meeting agenda at the top'}}	SWAP_T5_R1_S2_I001592-ACTION_EDIT_DOCUMENT-1	['ACTION_SET_ALARM', 'ACTION_GET_CONTENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_DOCUMENT']
"['turn 1: Create a new PNG image named Logo.png. -> All set! Your new PNG image “Logo.png” has been created. You can access it here: content://documents/Logo.png', 'turn 2: Open my still camera so I can freeze a moment in time. -> Still image camera started. You can take your shot.', ""turn 3: Pick the picture I just snapped. -> Ready! Here's the picture you just snapped: content://temp/img_0045.jpg"", 'turn 4: Save content://temp/img_0045.jpg into a new JPEG file named Snap.jpg -> Snap.jpg has been created and saved at content://pictures/Snap.jpg. Enjoy!']"	Open it to add a watermark saying 'Draft' on the image	Open content://documents/Logo.png to add a watermark saying 'Draft' on the image	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/Logo.png', 'content': ""watermark saying 'Draft'""}}"	SWAP_T5_R1_S2_I001593-ACTION_EDIT_DOCUMENT-1	['get_contact_info_from_uri', 'ACTION_GET_CONTENT', 'ACTION_VIEW_CONTACT', 'ACTION_EDIT_DOCUMENT', 'ACTION_EDIT_CONTACT']
"['turn 1: Please create an XML document called feed.xml. -> Success! “feed.xml” is set up and available at content://documents/feed.xml.', 'turn 2: I want to take a portrait. Open up the good old still camera. -> Still image camera is now open for a portrait.', ""turn 3: Get the latest image file I just captured. -> Here's your latest capture: content://temp/latest_capture.jpg"", ""turn 4: Save content://temp/latest_capture.jpg as a JPEG named CaptureBackup.jpg -> Your JPEG 'CaptureBackup.jpg' is stored at content://pictures/CaptureBackup.jpg.""]"	Insert a basic RSS feed template into it	Insert a basic RSS feed template into content://documents/feed.xml	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/feed.xml', 'content': 'basic RSS feed template'}}	SWAP_T5_R1_S2_I001594-ACTION_EDIT_DOCUMENT-1	['open_settings', 'send_message', 'send_email', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_CALL_LOG']
"['turn 1: Set up a text file named notes.txt to jot down quick thoughts. -> Your text file “notes.txt” has been created. You can find it at content://documents/notes.txt.', ""turn 2: Access the still image capture app now. -> Still image capture app opened—you're all set to take photos."", 'turn 3: Pick that newest picture -> Here’s the newest picture you grabbed: content://temp/newest_pic.jpg', 'turn 4: Save content://temp/newest_pic.jpg as NewestPicture.jpg -> NewestPicture.jpg has been saved to content://pictures/NewestPicture.jpg.']"	Open it and add 'Brainstorm Ideas:' as the first line	Open content://documents/notes.txt and add 'Brainstorm Ideas:' as the first line	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/notes.txt', 'content': 'Brainstorm Ideas:'}}	SWAP_T5_R1_S2_I001595-ACTION_EDIT_DOCUMENT-1	['search_location', 'ACTION_SET_TIMER', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_CALL_LOG']
"['turn 1: I need a CSV document named data_export.csv. -> Your CSV file “data_export.csv” is good to go—located at content://documents/data_export.csv.', 'turn 2: Execute the still photo mode for snapping a picture. -> Photo mode activated. The still camera is ready.', 'turn 3: Select the last three images I captured -> All set! The last three images are ready: [content://temp/capture1.jpg, content://temp/capture2.jpg, content://temp/capture3.jpg]', ""turn 4: Combine content://temp/capture1.jpg, content://temp/capture2.jpg, content://temp/capture3.jpg into a PDF named LastThreeImages.pdf -> Here you go—'LastThreeImages.pdf' combining your photos is ready at content://documents/LastThreeImages.pdf.""]"	Open it and add the headers ID,Name,Date in the first row	Open content://documents/data_export.csv and add the headers ID,Name,Date in the first row	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/data_export.csv', 'content': 'ID,Name,Date'}}	SWAP_T5_R1_S2_I001596-ACTION_EDIT_DOCUMENT-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_GET_RINGTONE', 'ACTION_EDIT_DOCUMENT', 'play_music']
"['turn 1: Could you make a JSON config file named config.json? -> JSON config “config.json” has been created. Access it via content://documents/config.json.', ""turn 2: Summon the device's camera app for a still photograph. -> Camera ready in still image mode."", 'turn 3: Choose the image I just shot -> Image selection complete—here’s what you just captured: content://temp/photo128.jpg', ""turn 4: Create a Word document named PhotoDescription.docx for content://temp/photo128.jpg -> Your Word doc 'PhotoDescription.docx' is now at content://documents/PhotoDescription.docx.""]"	Edit it to include default host and port settings for the API.	Edit content://documents/config.json to include default host and port settings for the API.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/config.json', 'content': 'include default host and port settings for the API'}}	SWAP_T5_R1_S2_I001597-ACTION_EDIT_DOCUMENT-1	['ACTION_VIEW_CALL_LOG', 'ACTION_EDIT_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION', 'search_location', 'ACTION_SHOW_ALARMS']
