source_file	conversation_history	query	rewrited_query	answer	unique_idx	candidates
it2_nonNR_tc.tsv	['turn 1: Could you send a motivational quote to my friend Lisa at 555-987-6543? -> Motivational quote delivered to 555-987-6543.']	What messages have I sent today?	What messages have I sent today?	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1242-ACTION_VIEW_SENT_MESSAGES-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_CONTACT', 'dial', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_EDIT_CONTACT']
it2_nonNR_tc.tsv	"[""turn 1: Text my colleague with ID 7890 the message 'Project deadline extended to next Monday. Check your email for details.' Use their contact +1 (800) 555-0000. -> Message delivered to +18005550000.""]"	Show me all sent messages.	Show me all sent messages.	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1245-ACTION_VIEW_SENT_MESSAGES-1	['ACTION_GET_RINGTONE', 'ACTION_VIEW_WEB_HISTORY', 'launch_application', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_SHOW_TIMERS']
it2_nonNR_tc.tsv	['turn 1: Please send the PDF invoice to +44 20 7946 0958 with the file attached. -> Invoice and attachment sent to +442079460958.']	Let me see my sent text messages.	Let me see my sent text messages.	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1243-ACTION_VIEW_SENT_MESSAGES-1	['ACTION_VIEW_CONTACT', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_PLAYLIST', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_SENT_MESSAGES']
it2_nonNR_tc.tsv	"[""turn 1: Forward the holiday greeting 'Merry Christmas and a Happy New Year!' to +81-90-1234-5678. -> Greeting sent to +81-90-1234-5678.""]"	Open the list of sent text messages.	Open the list of sent text messages.	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1244-ACTION_VIEW_SENT_MESSAGES-1	['ACTION_VIEW_SENT_MESSAGES', 'dial', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_CONTACT']
it2_nonNR_tc.tsv	"[""turn 1: Can you shoot a quick message to my brother at 1234567890 saying: 'Pick up some groceries on your way home?' -> Your message has been sent to 1234567890.""]"	Could you list my sent SMS/MMS	Could you list my sent SMS/MMS	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1250-ACTION_VIEW_SENT_MESSAGES-1	['send_email', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIEW_PLAYLIST', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_IMAGE_CAPTURE']
it2_nonNR_tc.tsv	"[""turn 1: Please send 'The server reboot is complete' to the admin at +61 2 1333 3777. -> Server reboot notice sent to +61213333777.""]"	Let me view my sent messages	Let me view my sent messages	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1249-ACTION_VIEW_SENT_MESSAGES-1	['ACTION_GET_RINGTONE', 'web_search', 'get_contact_info', 'ACTION_VIEW_CALL_LOG', 'ACTION_VIEW_SENT_MESSAGES']
it2_nonNR_tc.tsv	"[""turn 1: Notify mom (number: +1-415-555-2671) that I'm running 10 minutes late. -> Notification sent to +14155552671.""]"	What text messages did I send today	What text messages did I send today	{'plan': 'ACTION_VIEW_SENT_MESSAGES', 'arguments': {}}	send_message-1247-ACTION_VIEW_SENT_MESSAGES-1	['ACTION_VIEW_CONTACT', 'get_contact_info', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_OPEN_DOCUMENT', 'ACTION_OPEN_CONTENT']
it2_nonNR_tc.tsv	['turn 1: Help me choose a new alarm sound from my installed tunes. -> Sure thing! Here’s your ringtone list—pick the perfect alarm tone.']	Set content://media/piano_alarm.mp3 as my alarm ringtone	Set content://media/piano_alarm.mp3 as my alarm ringtone	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/piano_alarm.mp3'}}	ACTION_GET_RINGTONE-286-ACTION_SET_RINGTONE-1	['ACTION_VIEW_CONTACT', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_PLAYLIST', 'ACTION_VIEW_EVENT', 'ACTION_SET_RINGTONE']
it2_nonNR_tc.tsv	['turn 1: Can I get the ringtone picker now to select a track? -> Absolutely—launching the ringtone picker for you now.']	Set content://media/classic_bell.mp3 as my default ringtone	Set content://media/classic_bell.mp3 as my default ringtone	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/classic_bell.mp3'}}	ACTION_GET_RINGTONE-287-ACTION_SET_RINGTONE-1	['ACTION_SET_RINGTONE', 'dial', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_CONTACT']
it2_nonNR_tc.tsv	['turn 1: Please let me choose a new ringtone for my alarm. -> Loading your ringtone picker—go ahead and select a new alarm sound.']	Set content://media/alerts/beep_beep.mp3 as my alarm ringtone	Set content://media/alerts/beep_beep.mp3 as my alarm ringtone	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/alerts/beep_beep.mp3'}}	ACTION_GET_RINGTONE-276-ACTION_SET_RINGTONE-1	['ACTION_GET_RINGTONE', 'web_search', 'get_contact_info', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_SET_RINGTONE']
it2_nonNR_tc.tsv	['turn 1: I want to start filming a video, can you open the camera? -> Sure thing—opening the video camera now.']	Start capturing footage now.	Start capturing footage now.	{'plan': 'ACTION_VIDEO_CAPTURE', 'arguments': {}}	INTENT_ACTION_VIDEO_CAMERA-864-ACTION_VIDEO_CAPTURE-1	['ACTION_OPEN_CONTENT', 'ACTION_SET_ALARM', 'ACTION_VIEW_CALL_LOG', 'ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_PLAYLIST']
it2_nonNR_tc.tsv	['turn 1: Hey, can you place a call to +1 (415) 555-2671 for me? -> Calling +1 (415) 555-2671 now...']	Show me my recent calls.	Show me my recent calls.	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-914-ACTION_VIEW_CALL_LOG-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_SENT_MESSAGES', 'ACTION_VIEW_CALL_LOG', 'ACTION_GET_RINGTONE', 'ACTION_GET_CONTENT']
it2_nonNR_tc.tsv	['turn 1: Could you ring 5554321? -> Calling 5554321...']	I want to check my call history.	I want to check my call history.	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-917-ACTION_VIEW_CALL_LOG-1	['ACTION_GET_CONTENT', 'ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_CALL_LOG', 'ACTION_CREATE_DOCUMENT']
it2_nonNR_tc.tsv	['turn 1: I need to call customer support at 800-123-4567. -> Connecting you to customer support at 800-123-4567...']	Can you pull up my call log?	Can you pull up my call log?	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-916-ACTION_VIEW_CALL_LOG-1	['ACTION_NAVIGATE_TO_LOCATION', 'ACTION_EDIT_VIDEO', 'dial', 'ACTION_VIEW_CALL_LOG', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
it2_nonNR_tc.tsv	['turn 1: Initiate a call to the emergency number 112. -> Dialing 112...']	Could you show me my recent call log?	Could you show me my recent call log?	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-919-ACTION_VIEW_CALL_LOG-1	['ACTION_SHOW_ALARMS', 'ACTION_EDIT_ALARM', 'play_video', 'ACTION_VIEW_CALL_LOG', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
it2_nonNR_tc.tsv	"[""turn 1: Please call my dad's cell: 917-555-0123. -> Calling Dad at 917-555-0123...""]"	Bring up my recent calls.	Bring up my recent calls.	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-918-ACTION_VIEW_CALL_LOG-1	['play_video', 'launch_application', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_CALL_LOG', 'send_email']
it2_nonNR_tc.tsv	['turn 1: Call the reception at extension 7890. -> Dialing extension 7890...']	Please display my call history.	Please display my call history.	{'plan': 'ACTION_VIEW_CALL_LOG', 'arguments': {}}	dial-920-ACTION_VIEW_CALL_LOG-1	['dial', 'ACTION_VIEW_CALL_LOG', 'ACTION_SET_RINGTONE', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_SET_TIMER']
it2_nonNR_tc.tsv	['turn 1: Hey assistant, launch WhatsApp so I can message John. -> WhatsApp launched. You can message John now.']	Which apps have I accessed recently?	Which apps have I accessed recently?	{'plan': 'ACTION_VIEW_RECENT_APPS', 'arguments': {}}	launch_application-1462-ACTION_VIEW_RECENT_APPS-1	['ACTION_GET_CONTENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_RECENT_APPS', 'ACTION_SHOW_TIMERS']
it2_nonNR_tc.tsv	['turn 1: Open Instagram, I need to upload a new photo. -> Instagram is open. Go ahead and upload your photo.']	Show me my recently used apps.	Show me my recently used apps.	{'plan': 'ACTION_VIEW_RECENT_APPS', 'arguments': {}}	launch_application-1463-ACTION_VIEW_RECENT_APPS-2	['play_music', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_ALARM', 'ACTION_GET_CONTENT', 'ACTION_VIDEO_CAPTURE']
